src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S4B_Table1.tsv,S4B,1,27,bda0016ffd100d0ffd09f500000500022c7900000001000016fabd,12,33555712,1991-01-24T09:01:52+00:00,,,1,0
S4B_Table1.tsv,S4B,1,68,bdaffd00011ffd200d89f500000200009ce40001430896f04152da863e660b873f28dbfc41ce5ce93ea869133f973a8441c0ead13eac31433fadaf8f41bfd78b001681bd,16,16835740,1990-07-14T20:35:40+00:00,,,3,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09f600000600022c7900009c2d00009ce4000029f6bd,12,33555968,1991-01-24T09:06:08+00:00,-25555,0,4,0
S4B_Table1.tsv,S4B,1,246,bdaffd00011ffd200d89f600000200009c2d000543061394415186203e85a2aa3f50ff9741d507a23eabd2043f9a500241bf33f63eb1e8e53fb2145d41bbdad643061718415273603e85b5043f50c6ca41d618853eab9f563f9af1ab41bfb3563eb13a223fb2949a41bbe0d743061a9c41526ff03e85afc63f50d22641d711063eab79c23f9b273141c03b5b3eb132453fb29d1f41bbe2c243061e2041525ebe3e8570dc3f508af041d7da073eabd3c43f9b593541c0cc833eb129893fb2ac3241bcdc0570430621a44152a6f23e8563c13f504c7541d8882f3eabdd603f9b90b241c15b893eb126ea3fb2ad1141bcdc190e011c94bd,24,545673537,2007-04-17T15:58:57+00:00,,,6,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09f700000600022c7900009c3200009ce40000b6cfbd,12,33555968,1991-01-24T09:06:08+00:00,-25550,0,7,0
S4B_Table1.tsv,S4B,1,250,bdaffd00011ffd200d89f700000200009c320005430625284152d3a53e8571bcdc3f5023d241d91b743eabfb153f9bcf2d41c1ec093eb11e2c3fb2b7fe41bcdc3185430628ac4152ebb63e85151c3f4fc65441d9917e3eac471b3f9bfb1641c27be43eb11b8c3fb2bb4641bcdc568443062c3041531f4b3e8521573f4fa21141d9e59c3eac2a443f9c3d4641c30af63eb164143fb2dc7941bcdc6f6643062fb441536aef3e84e96b3f4f3d2541da22973eac55163f9c729441c3a8903eb1758e3fb2f02241bcdc96a74306333841537c203e84d5513f4f1d3e41da3cdf3eac5f923f9c9cf541c42b5a3eb171303fb2f80041bcdcb1d601b3b2bd,20,673515075,2011-05-06T07:31:15+00:00,,,9,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09f800000600022c7900009c3700009ce400007b3ebd,12,33555968,1991-01-24T09:06:08+00:00,-25545,0,10,0
S4B_Table1.tsv,S4B,1,250,bdaffd00011ffd200d89f800000200009c370005430636bcdc4153c0e43e84dfce3f4efb2a41da37dd3eac7f093f9ccd7441c4ab0d3eb151ba3fb31f1a41bcdced6343063a404154136a3e84deef3f4efd5b41da1df73eac11ce3f9d067941c520333eb1529c3fb31ffb41bcdd125d43063dc441516a9f3e84dfcf3f4f006741d9edbf3eabf5d63f9d293441c5975e3eb137833fb3427f41bcdd3d63430641484150eb673e84dc4f3f4f06f541d9b49f3eac1b6c3f9d68fe41c605c03eb117303fb36d1641bcdd69e4430644cc4150bb443e84dfce3f4eff8a41d957a13eac20a93f9d9d6d41c662593eb114913fb36f4741bcddaa1c01e5b2bd,16,83900316,1992-08-29T01:38:36+00:00,,,12,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09f900000600022c7900009c3c00009ce40000fc9cbd,12,33555968,1991-01-24T09:06:08+00:00,-25540,0,13,0
S4B_Table1.tsv,S4B,1,246,bdaffd00011ffd200d89f900000200009c3c000543064850415073103e84f2293f4ec56d41d8dc9a3eac23473f9d997e41c6d8033eb12fa63fb385fe41bcddd5db43064bd44150541d3e848b0c3f4ea5f941d851123eac62303f9dce2341c7344b3eb16b133fb3ace141bcddfddf43064f5841502ada3e84a1c43f4e45d941d7b00b3eac692d3f9de69b41c794cf3eb15c363fb3bfe341be209f430652dc414ff3d83e845a1d3f4df7a441d6fa533eac47fb3f9e105441c7d3dc3eb15c363fb3bf7241be644043065660414fdbc63e845f5b3f4da20141d62a3b3eac32223f9e303a41c8104a3eb142e03fb3dfc741be942c012437bd,32,1841647167,2048-05-11T08:39:27+00:00,,,15,0
