leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S2T,1,27,,,,,,,,0,1,S2T_Table1.tsv,bda0016ffd10050ffd096900000500057b030000000100004706bd
S2T,1,27,,,,,,,,0,4,S2T_Table1.tsv,bda0016ffd10050ffd096a0000050001b0750000000100004ae8bd
S2T,1,27,,,,,,,,0,7,S2T_Table1.tsv,bda0016ffd10050ffd096b00000500022c79000000010000f635bd
S2T,1,69,,,,,,,,0,9,S2T_Table1.tsv,bdaffd00011ffd2005896b0000020000fe4100014305a314415597f23da137f33e0309b241addadd3e25c91e3e90cea741baeab23eafa90e3f9c02bcdc41bef5a3008930bd
S2T,1,27,,,,,,,,0,10,S2T_Table1.tsv,bda0016ffd10050ffd096c00000500033f980000000100007bdfbd
S2T,1,27,,,,,,,,0,13,S2T_Table1.tsv,bda0016ffd10050ffd096d000005000485560000000100002ed3bd
S2T,1,31,last_n,1101,-1101,0,,,,0,16,S2T_Table1.tsv,bda0016ffd10050ffd097000000600022c790000fbb30000fe410000dce2bd
S2T,1,31,raw,,1343,0,,,,0,19,S2T_Table1.tsv,bda0016ffd10050ffd097100000600033f980000053f0000054b00003198bd
S2T,1,31,raw,,671,0,,,,0,22,S2T_Table1.tsv,bda0016ffd10050ffd0972000006000485560000029f000002a5000079ecbd
S2T,1,31,last_n,1096,-1096,0,,,,0,25,S2T_Table1.tsv,bda0016ffd10050ffd097300000600022c790000fbb80000fe410000e64dbd
S2T,1,245,,,,,,,,0,27,S2T_Table1.tsv,bdaffd00011ffd200589730000020000fbb8000542fcb970415383003dc131d73e34d16341cdd4963e2fcea23e97928e41b9cb373eae57c33f615b5641b81ec642fcbcdcf4415371d03dc1205d3e35190a41ce6c2d3e2f6b033e97be3f41ba254a3eae51a63f61782c41b82bf342fcc0784153375c3dc0fd693e35802741cefffd3e2ee9b03e97b58141ba83d23eae47293f61a44f41b83e6942fcc3fc41534f6d3dc0cff73e35f38041cf697f3e2f3a153e979dea41baec953eae3e6c3f61c6d141b8307442fcc78041536aef3dc0cff73e35ec8141cfcff53e2f6e823e9819ff41bb4efc3eae368f3f61e5d741b83fe4015b74bd
S2T,1,31,raw,,1348,0,,,,0,28,S2T_Table1.tsv,bda0016ffd10050ffd097400000600033f98000005440000054b00005fdabd
S2T,1,31,raw,,676,0,,,,0,31,S2T_Table1.tsv,bda0016ffd10050ffd097500000600048556000002a4000002a500005e3cbd
S2T,1,31,raw,,1353,0,,,,0,37,S2T_Table1.tsv,bda0016ffd10050ffd097700000600033f98000005490000054b00002f3cbd
S2T,1,31,last_n,1086,-1086,0,,,,0,40,S2T_Table1.tsv,bda0016ffd10050ffd097800000600022c790000fbc20000fe4100002a68bd
S2T,1,31,last_n,1081,-1081,0,,,,0,43,S2T_Table1.tsv,bda0016ffd10050ffd097900000600022c790000fbc70000fe41000014eabd
S2T,1,31,last_n,1076,-1076,0,,,,0,46,S2T_Table1.tsv,bda0016ffd10050ffd097a00000600022c790000fbcc0000fe410000d936bd
S2T,1,246,,,,,,,,0,48,S2T_Table1.tsv,bdaffd00011ffd2005897a0000020000fbcc000542fcffc04152f9783dc12ada3e34fd1441ccee1a3e303cbb3e9adf8941c0bb803eaed9153f66200f41b9c10f42fd0344415273603dc021363e348efb41cc038f3e30995b3e9b0f9741c0df143eaecdbb3f66508f41b9de1542fd06c8415227bcdc3dbfd7cf3e341f2141cb319e3e308ede3e9b1cb241c105a33eaec25e3f66880a41b9fab442fd0a4c4151e6673dc02bb03e331abcdc41ca41573e308b603e9b3b4a41c13d313eaeaf263f66cd1341ba0ccf42fd0dd041517bd03dc055a23e329ea641c940143e3095dd3e9b14d441c157b93eaeee103f6705de41ba45440176debd
S2T,1,31,last_n,1071,-1071,0,,,,0,49,S2T_Table1.tsv,bda0016ffd10050ffd097b00000600022c790000fbd10000fe410000ee80bd
S2T,1,31,last_n,1066,-1066,0,,,,0,52,S2T_Table1.tsv,bda0016ffd10050ffd097c00000600022c790000fbd60000fe41000036c9bd
S2T,1,31,last_n,1061,-1061,0,,,,0,55,S2T_Table1.tsv,bda0016ffd10050ffd097d00000600022c790000fbdb0000fe410000b444bd
S2T,1,31,last_n,1056,-1056,0,,,,0,58,S2T_Table1.tsv,bda0016ffd10050ffd097e00000600022c790000fbe00000fe410000ff50bd
S2T,1,31,last_n,1051,-1051,0,,,,0,61,S2T_Table1.tsv,bda0016ffd10050ffd097f00000600022c790000fbe50000fe410000fe3cbd
S2T,1,31,last_n,1046,-1046,0,,,,0,64,S2T_Table1.tsv,bda0016ffd10050ffd098000000600022c790000fbea0000fe4100001ae9bd
S2T,1,31,last_n,1041,-1041,0,,,,0,67,S2T_Table1.tsv,bda0016ffd10050ffd098100000600022c790000fbef0000fe41000006abbd
S2T,1,31,last_n,1036,-1036,0,,,,0,70,S2T_Table1.tsv,bda0016ffd10050ffd098200000600022c790000fbf40000fe4100001a06bd
S2T,1,31,last_n,1031,-1031,0,,,,0,73,S2T_Table1.tsv,bda0016ffd10050ffd098300000600022c790000fbf90000fe4100003840bd
S2T,1,31,last_n,1026,-1026,0,,,,0,76,S2T_Table1.tsv,bda0016ffd10050ffd098400000600022c790000fbfe0000fe41000062f0bd
