leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S3T,1,27,,,,,,,,0,1,S3T_Table1.tsv,bda0016ffd10080ffd091a00000500022c79000000010000791abd
S3T,1,69,,,,,,,,0,3,S3T_Table1.tsv,bdaffd00011ffd2008891a00000200006d970001430610104150c2243e5ded9a3ec2816241d29f5e3e7764403f4a3de241bcdce39b3ed1a91c3fb9b90e41b9c83200dd97bd
S3T,1,31,raw,,27368,0,,,,0,4,S3T_Table1.tsv,bda0016ffd10080ffd091b00000600022c7900006ae800006d9700003cd2bd
S3T,1,245,,,,,,,,0,6,S3T_Table1.tsv,bdaffd00011ffd2008891b00000200006ae8000542fca0d4415295c23ea9f24b3f2df34741abdd103e8b375a3f57944d41aea1833ec9bcdcfe3f8d9d3441b2621342fca45841528b713ea9dd523f2e624141acfd133e8b0d693f581b4e41ae98e03ec9fcc63f8d09bf41b2579d42fca7dc4152546e3eaa02063f2ed8a641ae2ab73e8ad65c3f587e7d41ae82003ec9fcc73f8d104e41b2242742fcab6041526c803eaa0d603f2f67f441af52d23e8a5c063f58e75741ae8bcc3ec9fa293f8d143d41b1eff242fcaee441523c5c3ea9f24c3f2fef6641b0abcd3e8a526a3f58ec9641ae9be13ec9fa273f8d0d0741b1fdde015deebd
S3T,1,31,raw,,27373,0,,,,0,7,S3T_Table1.tsv,bda0016ffd10080ffd091c00000600022c7900006aed00006d9700006b96bd
S3T,1,246,,,,,,,,0,9,S3T_Table1.tsv,bdaffd00011ffd2008891c00000200006aed000542fcb2684152168a3ea9d7343f307f9341b1df153e8ac6a03f57818441aea5403eca01253f8d075941b1db5942fcb5ec41520c393ea9b7bf3f3119cd41b339313e8a7e1a3f5860c541aeb4f53ec9fda73f8ca73a41b1af0e42fcb9704151df863ea99aea3f31a75d41b4913f3e8a7c5c3f5866e541aecc3a3ec9bebcdd3f8cae3741b1ab4942fcbcdcf44151f7973ea9df133f3234ed41b5eafd3e8a49ac3f5907ac41aef8153ec98ead3f8d215741b192ea42fcc0784151ce553ea9caf93f32b5ce41b72f873e8a67613f58a5ce41af1e533ec9ccb63f8cbed141b18144017dc8bd
S3T,1,31,raw,,27378,0,,,,0,10,S3T_Table1.tsv,bda0016ffd10080ffd091d00000600022c7900006af200006d970000de86bd
S3T,1,31,raw,,27383,0,,,,0,13,S3T_Table1.tsv,bda0016ffd10080ffd091e00000600022c7900006af700006d9700003f1abd
S3T,1,246,,,,,,,,0,15,S3T_Table1.tsv,bdaffd00011ffd2008891e00000200006af7000542fcd590415190723ea95ce03f359e4c41be74703e8a2e953f596fa941b097eb3ec99d873f8de6d341b134b742fcd9144151c4053ea987af3f35f7dd41bf8ae23e8a98513f59081d41b0dffc3ec9fe863f8d04b941b129d942fcdc984151b9b53ea974793f3658db41c086923e8a77fc3f59e67f41b12f1c3ec9c07b3f8d92b941b1273742fce01c4151d5363ea9691b3f36944641c164413e8a68423f5a161e41b182603eca0ba23f8d95ff41b1214042fce3a04151bcdd253ea95a403f36d78f41c23a5c3e8abcdc243f590c0941b1e0fb3eca16ff3f8db06e41b1315a012594bd
S3T,1,31,raw,,27388,0,,,,0,16,S3T_Table1.tsv,bda0016ffd10080ffd091f00000600022c7900006afc00006d97000033d1bd
S3T,1,31,raw,,27393,0,,,,0,19,S3T_Table1.tsv,bda0016ffd10080ffd092000000600022c7900006b0100006d970000227dbd
S3T,1,246,,,,,,,,0,21,S3T_Table1.tsv,bdaffd00011ffd2008892000000200006b01000542fcf8b8415292513ea8cd903f37921f41c5288a3e8a69223f5cf79e41b415a13eca40f03f8e365741b143bb42fcfc3c4152244a3ea8d2cf3f377f5541c551243e8a747d3f5d4d4041b476913eca217b3f8e41b441b165e042fcffc041513dec3ea8d48f3f376f9b41c585d33e8aeb543f5cdac641b4cf433ec9fcc63f8ed7ff41b172a142fd0344414fbcdcd43ea8d48e3f37690c41c574bcdc3e8b0acb3f5c733c41b524e93eca225b3f8e7aef41b1874742fd06c8414f447d3ea8de2b3f373dcc41c5752d3e8b2e9c3f5d7e3041b58f443ec9f9493f8ef93341b19ca901df83bd
S3T,1,31,raw,,27398,0,,,,0,22,S3T_Table1.tsv,bda0016ffd10080ffd092100000600022c7900006b0600006d970000a9d0bd
S3T,1,246,,,,,,,,0,24,S3T_Table1.tsv,bdaffd00011ffd2008892100000200006b06000542fd0a4c414f3a2b3ea8d8ee3f373abcdc41c564123e8b1ee23f5da82041b5ddd33eca6e603f8eb23441b1b68942fd0dd0414ec8b43ea8842a3f370dbcdd41c53dcf3e8b3e573f5df88541b62f643eca65a33f8ec6f441b1c94b42fd1154414e9f723ea890653f36cd1341c4f5553e8b9a163f5d9cc441b67cd43eca26b73f8f57cb41b1d31442fd14d8414e53ce3ea89e613f368a3b41c4b1dd3e8b8c1c3f5dcb1441b6cc8d3eca1edb3f8f6b3b41b1f7dd42fd185c414e316b3ea8afdc3f3637a641c45ca13e8b827f3f5eb15341b705b93ecaa2ce3f8ef6cc41b2019201f581bd
S3T,1,31,raw,,27403,0,,,,0,25,S3T_Table1.tsv,bda0016ffd10080ffd092200000600022c7900006b0b00006d97000044d5bd
S3T,1,31,raw,,27408,0,,,,0,28,S3T_Table1.tsv,bda0016ffd10080ffd092300000600022c7900006b1000006d970000d161bd
S3T,1,245,,,,,,,,0,30,S3T_Table1.tsv,bdaffd00011ffd2008892300000200006b10000542fd2d74414d3d4c3ea812923f33d3fb41c139d93e8be6fd3f5f9db341b83d9b3eca9a113f901c2e41b2b7a642fd30f8414d366c3ea803b73f33b33641c0a77c3e8bde403f5fb93741b85bc73eca97723f90228341b2be6542fd347c414d1e5a3ea7e1a23f33538741bfffff3e8c00533f5f47a141b87cdc3ecab8a53f8fd17941b2e27442fd3800414d17793ea7ca0b3f32df5141bf669a3e8c02123f5f465041b89a3b3eca8dd53f9064ed41b30b0142fd3b84414d253a3ea7bcdcef3f3274b641bec1e33e8c00543f5f4e9e41b8a6a33ecae1b93f90608e41b3170c01f222bd
S3T,1,31,raw,,27413,0,,,,0,31,S3T_Table1.tsv,bda0016ffd10080ffd092400000600022c7900006b1500006d970000f3a3bd
S3T,1,31,raw,,27418,0,,,,0,34,S3T_Table1.tsv,bda0016ffd10080ffd092500000600022c7900006b1a00006d97000037e8bd
S3T,1,245,,,,,,,,0,36,S3T_Table1.tsv,bdaffd00011ffd2008892500000200006b1a000542fd509c414c500d3ea72e823f2ff19341bacdb13e8c72cc3f5f5d7741b897fa3ecadff73f905c3141b3bab642fd5420414c424d3ea73abcdd3f2f995441ba38d33e8c78eb3f5f4cde41b88c4d3ecad73c3f9070b941b3cbfe42fd57a4414bd4463ea6f3f43f2f2baa41b986553e8c7aab3f5f48f141b885e23ecaa8eb3f90ea2f41b3d62142fd5b28414c26ca3ea7080e3f2ec3af41b8dec13e8c86043f5f251e41b8737c3ecafccd3f90ff6041b3ed0942fd5eac414bbfa43ea6d0223f2e68ce41b83f223e8c0d6f3f609aac41b8567e3ecb1ee23f90ae5341b3f7ee017e77bd
S3T,1,31,raw,,27423,0,,,,0,37,S3T_Table1.tsv,bda0016ffd10080ffd092600000600022c7900006b1f00006d9700000953bd
S3T,1,246,,,,,,,,0,39,S3T_Table1.tsv,bdaffd00011ffd2008892600000200006b1f000542fd6230414bc6843ea6cf423f2deafa41b7944d3e8c59753f5fb38c41b836d43ecae4593f91394341b4039642fd65b4414ba4233ea6c8443f2d410441b6f5963e8c8ec33f5f08b441b819dc3ecae9943f912fdf41b41a8342fd6938414b5f5e3ea6aeed3f2c8de141b6597e3e8c28863f6047a541b7ff8a3ecb14663f90c8fb41b4293142fd6cbcdc414b587e3ea6a0123f2cd0bcdc41b5c01a3e8bde3f3f603a8c41b7d56c3ecad57c3f91588041b42a4d42fd7040414b4e2e3ea663c73f2c79ca41b50f173e8bf3373f5f93a641b7b4b03ecb50b13f90f63241b43b9d01be94bd
S3T,1,31,raw,,27428,0,,,,0,40,S3T_Table1.tsv,bda0016ffd10080ffd092700000600022c7900006b2400006d97000074c7bd
S3T,1,31,raw,,27433,0,,,,0,43,S3T_Table1.tsv,bda0016ffd10080ffd092800000600022c7900006b2900006d970000349cbd
S3T,1,31,raw,,27438,0,,,,0,46,S3T_Table1.tsv,bda0016ffd10080ffd092900000600022c7900006b2e00006d970000532cbd
S3T,1,31,raw,,27438,0,,,,0,52,S3T_Table1.tsv,bda0016ffd10080ffd092900000600022c7900006b2e00006d970000532cbd
S3T,1,245,,,,,,,,0,54,S3T_Table1.tsv,bdaffd00011ffd2008892900000200006b2e000542fd96ec414abcddc43ea584f43f28a10041aeb1373e8c65b13f5d860e41b5a0203ecb3f363f914a4d41b44afc42fd9a70414bde963ea58f713f284edd41ae18b73e8bf3393f5e09ff41b564cb3ecb10e73f91b16941b45b2242fd9df4414ddb753ea58db13f27f15f41ada72c3e8bbecb3f5eacf541b5356a3ecb0e473f91b97e41b45c4442fda178415023fa3ea54de63f278f7f41ad030e3e8bc5c93f5e99be41b4f9513ecb02ed3f91d50541b43a1c42fda4fc415397a23ea55be33f274a7741ac751d3e8c4ef93f5ce70341b4b11d3ecb25df3f91c4db41b43f56017954bd
S3T,1,31,raw,,27443,0,,,,0,55,S3T_Table1.tsv,bda0016ffd10080ffd092a00000600022c7900006b3300006d9700006a7ebd
S3T,1,245,,,,,,,,0,57,S3T_Table1.tsv,bdaffd00011ffd2008892a00000200006b33000542fda8804158cdb53ea56b9e3f27018141abf9df3e8c1c4b3f5d8adb41b475663ecb0c8a3f91bcdda541b427a242fdac044157a9743ea530333f26b0ad41ab60563e8c170c3f5d6b6641b4431b3ecb25e03f91b52041b438fd42fdaf884156efc73ea527753f265beb41aaed673e8bf25a3f5c94e041b405733ecb10e93f91bb7541b4280c42fdb30c41567ae03ea532d23f26167241aa83d63e8bd3c33f5cf87e41b3c4823ecb1b643f91c7eb41b3f84d42fdb6904155ea773ea4dc4f3f25cfab41aa0a953e8c0acf3f5c4a2941b382c93ecb375b3f9159d041b404b6013209bd
S3T,1,31,raw,,27448,0,,,,0,58,S3T_Table1.tsv,bda0016ffd10080ffd092b00000600022c7900006b3800006d97000092c0bd
S3T,1,31,raw,,27453,0,,,,0,61,S3T_Table1.tsv,bda0016ffd10080ffd092c00000600022c7900006b3d00006d9700004bd2bd
S3T,1,31,raw,,27458,0,,,,0,64,S3T_Table1.tsv,bda0016ffd10080ffd092d00000600022c7900006b4200006d970000e2b3bd
S3T,1,245,,,,,,,,0,66,S3T_Table1.tsv,bdaffd00011ffd2008892d00000200006b42000542fddd3c415389e23ea3d7ea3f25009141aa5c8b3e8b14663f5aed1341b0f8573ecb44753f91415941b3230d42fde0c0415359bcdd3ea3ce4d3f25293441ab0a373e8b082a3f5aac6941b0c9753ecb11c53f91b1da41b3122742fde44441531f4b3ea3be923f257df641abc4513e8afb0e3f59c62b41b0a4553ecb2bfd3f913c8a41b3014142fde7c84153307c3ea3adf93f25c52e41aca6863e8acd9f3f5a550941b07e0c3ecaf9503f9144d641b2d8b042fdeb4c4152c5e53ea39ffd3f2613d341ada24d3e8b12a73f5975c641b05eee3ecaa80d3f91c00d41b2b9e7011c69bd
S3T,1,31,raw,,27463,0,,,,0,67,S3T_Table1.tsv,bda0016ffd10080ffd092e00000600022c7900006b4700006d9700003e78bd
