src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S1M_Table1.tsv,S1M,1,27,bda0016ffd10030ffd090d00000500022c79000000010000211dbd,12,33555712,1991-01-24T09:01:52+00:00,,,1,0
S1M_Table1.tsv,S1M,1,69,bdaffd00011ffd2003890d0000020000ffb70001430896f04151cae53e0e139c3e025cad41bcdc647d3e2107043e4fdd7c41b893703eb714b93fab336b41b7038b00dd48bd,16,16824319,1990-07-14T17:25:19+00:00,,,3,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd090e00000600022c790000ff400000ffb700003350bd,12,33555968,1991-01-24T09:06:08+00:00,-192,0,4,0
S1M_Table1.tsv,S1M,1,245,bdaffd00011ffd2003890e0000020000ff4000054306f494415605f93e0f76603e0948c641b67cd93e25ce5c3e5d399541ba29693ebcdc29d53fae200f41b7a2364306f8184155343c3e0f829c3e08f4e341b610903e25d8d73e5cee7141b9f3ed3ebbda513fae045141b798d54306fb9c4154ec083e0f8d193e08bb3741b5a7ad3e259bac3e5c59e441b9c6ba3ebbe22f3fadd3d241b7a0be4306ff204154cd153e0f68653e082be941b55c263e252f523e5bddd141b996753ebbfaa53fadad5f41b78780430702a44154b5033e0edad63e081c2e41b5157b3e253f0d3e5b4b0341b954443ebb8f2b3fadab6941b774ad01e064bd,28,1618349886,2041-04-13T21:38:06+00:00,,,6,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd090f00000600022c790000ff450000ffb70000d0d7bd,12,33555968,1991-01-24T09:06:08+00:00,-187,0,7,0
S1M_Table1.tsv,S1M,1,245,bdaffd00011ffd2003890f0000020000ff45000543070628415454be3e0ee7133e07c30e41b4d83d3e2536503e5aadb941b9367c3ebbae9f3fad654941b761e1430709ac4154136a3e0eec513e077ee541b49e573e2493c73e5a176f41b8f79b3ebb58fe3fad441341b74d3a43070d30415416da3e0ef6cd3e073ffb41b46c0b3e24a8c03e59945d41b8bcdc803ebb7cd03facd12c41b73e2a430710b441537c203e0f03073e06ef9641b449e43e24824e3e58f55341b88d6b3ebaf8df3fad013b41b73347430714384153f4783e0f0a033e06d3a141b44afb3e23fd7e3e5867c441b861033ebaf3a13facc25141b71f4d01154bbd,20,671483715,2011-04-12T19:15:15+00:00,,,9,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091000000600022c790000ff4a0000ffb70000143dbd,12,33555968,1991-01-24T09:06:08+00:00,-182,0,10,0
S1M_Table1.tsv,S1M,1,246,bdaffd00011ffd200389100000020000ff4a0005430717bcdc4153c4543e0ee1d33e0671c341b436543e240b773e57df7341b82dd93ebad50c3fac7f0741b701fe43071b404153a8d33e0e59823e062f5a41b43d193e2420713e5753a441b7fec93eba85873fac5e4341b6f59143071ec4415378b03e0e57c23e062a1c41b4558a3e23a29d3e56e20d41b7e0563eba7f6a3fac211941b6d59f430722484153609f3e0e623f3e05dd3741b47b0c3e236fef3e5652bcdd41b7ab423eba272a3fac0e4f41b6c4b1430725cc4153609f3e0e59813e0603a941b4c6923e2381693e55e4a341b7811c3eba34433fabcc1e41b6a63a012029bd,32,1896234707,2050-02-02T03:51:47+00:00,,,12,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091100000600022c790000ff4f0000ffb70000c61bbd,12,33555968,1991-01-24T09:06:08+00:00,-177,0,13,0
S1M_Table1.tsv,S1M,1,244,bdaffd00011ffd200389110000020000ff4f00054307295041534f6d3e0e5b413e05fe6b41b510a13e2355b73e55784a41b75cfe3eb9ffd63fab931a41b6a69a43072cd4415341ac3e0e623f3e05d2ba41b572513e22cd663e54f8b341b7418d3eb9d9643fab699941b68b1e430730584153299b3e0e607f3e05e0b541b5d46e3e22dd213e54871e41b719af3eb9c46a3fab325441b66beb430733dc41531bdb3e0f12c13e0603a841b64c4f3e22e2603e543db641b706213eb973263fab257041b656d743073760415307393e0f0f423e066e4341b6e86f3e22f21b3e53baa341b70da53eb96b4a3fab004c41b65ce1017094bd,24,1833915201,2048-02-11T20:53:21+00:00,,,15,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091200000600022c790000ff540000ffb7000068fcbd,12,33555968,1991-01-24T09:06:08+00:00,-172,0,16,0
S1M_Table1.tsv,S1M,1,245,bdaffd00011ffd200389120000020000ff54000543073ae4415300583e0f11013e06700341b787e63e22301f3e53927241b6f1173eb913093faaeca341b637a543073e684152ef283e0f0f433e068a3a41b819843e22371c3e53458e41b6e9253eb920253faab67641b62355430741ec4152ddf63e0f04c63e06d56041b8ce313e223e1a3e52f36b41b6dfc33eb8d1803faa89e641b61210430745704152a0123e0f03093e06dfdc41b977403e2248933e52bcdd3d41b6e1443eb8b66a3faa75cd41b5eeb3430748f44152a0123e0f08463e07224541ba31b43e224f913e526e9741b6eaa93eb87d9c3faa352441b5e49101aea1bd,24,1476416321,2036-10-14T03:38:41+00:00,,,18,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091300000600022c790000ff590000ffb70000a9ddbd,12,33555968,1991-01-24T09:06:08+00:00,-167,0,19,0
S1M_Table1.tsv,S1M,1,248,bdaffd00011ffd200389130000020000ff59000543074c78415288013e0fb54b3e0762ef41bad83e3e2215e53e521c7441b6fe3d3eb890d53faa0dd141b5e0ca43074ffc415246ad3e0fb38c3e077b6541bbac773e2194923e52007c41b70e063eb837b43fa9e7ce41b5ca3f4307538041521d6a3e0fac8f3e07ca0a41bcdc4fba3e21a98c3e5119cf41b721f53eb82e173fa9c12341b5bcdc564307570441520c393e0fa90f3e07d48741bcdd1cee3e21b9463e50b2b041b7406a3eb7e7513fa9a25541b5b7da43075a884151e6673e0fa5903e08057741bcdde49c3e21aecb3e5127ca41b74f143eb7c8bb3fa96f0041b5a92c011e3fbd,20,2018248515,2053-12-15T08:35:15+00:00,,,21,0
