leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S4B,1,27,,,,,,,,0,1,S4B_Table1.tsv,bda0016ffd100d0ffd09f500000500022c7900000001000016fabd
S4B,1,31,last_n,25555,-25555,0,,,,0,4,S4B_Table1.tsv,bda0016ffd100d0ffd09f600000600022c7900009c2d00009ce4000029f6bd
S4B,1,246,,,,,,,,0,6,S4B_Table1.tsv,bdaffd00011ffd200d89f600000200009c2d000543061394415186203e85a2aa3f50ff9741d507a23eabd2043f9a500241bf33f63eb1e8e53fb2145d41bbdad643061718415273603e85b5043f50c6ca41d618853eab9f563f9af1ab41bfb3563eb13a223fb2949a41bbe0d743061a9c41526ff03e85afc63f50d22641d711063eab79c23f9b273141c03b5b3eb132453fb29d1f41bbe2c243061e2041525ebe3e8570dc3f508af041d7da073eabd3c43f9b593541c0cc833eb129893fb2ac3241bcdc0570430621a44152a6f23e8563c13f504c7541d8882f3eabdd603f9b90b241c15b893eb126ea3fb2ad1141bcdc190e011c94bd
S4B,1,31,last_n,25550,-25550,0,,,,0,7,S4B_Table1.tsv,bda0016ffd100d0ffd09f700000600022c7900009c3200009ce40000b6cfbd
S4B,1,31,last_n,25545,-25545,0,,,,0,10,S4B_Table1.tsv,bda0016ffd100d0ffd09f800000600022c7900009c3700009ce400007b3ebd
S4B,1,31,last_n,25540,-25540,0,,,,0,13,S4B_Table1.tsv,bda0016ffd100d0ffd09f900000600022c7900009c3c00009ce40000fc9cbd
S4B,1,246,,,,,,,,0,15,S4B_Table1.tsv,bdaffd00011ffd200d89f900000200009c3c000543064850415073103e84f2293f4ec56d41d8dc9a3eac23473f9d997e41c6d8033eb12fa63fb385fe41bcddd5db43064bd44150541d3e848b0c3f4ea5f941d851123eac62303f9dce2341c7344b3eb16b133fb3ace141bcddfddf43064f5841502ada3e84a1c43f4e45d941d7b00b3eac692d3f9de69b41c794cf3eb15c363fb3bfe341be209f430652dc414ff3d83e845a1d3f4df7a441d6fa533eac47fb3f9e105441c7d3dc3eb15c363fb3bf7241be644043065660414fdbc63e845f5b3f4da20141d62a3b3eac32223f9e303a41c8104a3eb142e03fb3dfc741be942c012437bd
S4B,1,31,last_n,25535,-25535,0,,,,0,16,S4B_Table1.tsv,bda0016ffd100d0ffd09fa00000600022c7900009c4100009ce40000a5aebd
S4B,1,31,last_n,25530,-25530,0,,,,0,19,S4B_Table1.tsv,bda0016ffd100d0ffd09fb00000600022c7900009c4600009ce400006d68bd
S4B,1,31,last_n,25525,-25525,0,,,,0,22,S4B_Table1.tsv,bda0016ffd100d0ffd09fc00000600022c7900009c4b00009ce40000889bbd
S4B,1,31,last_n,25520,-25520,0,,,,0,25,S4B_Table1.tsv,bda0016ffd100d0ffd09fd00000600022c7900009c5000009ce40000ec9abd
S4B,1,31,last_n,25515,-25515,0,,,,0,28,S4B_Table1.tsv,bda0016ffd100d0ffd09fe00000600022c7900009c5500009ce400008c2cbd
S4B,1,31,last_n,25510,-25510,0,,,,0,31,S4B_Table1.tsv,bda0016ffd100d0ffd09ff00000600022c7900009c5a00009ce400002cc5bd
S4B,1,246,,,,,,,,0,33,S4B_Table1.tsv,bdaffd00011ffd200d89ff00000200009c5a00054306b1c8414d85803e80037f3f4253f041c0a6553eac5eb33f9ca34c41c5bcdced3eb0da033fb4650941c194494306b54c414d96b13e7fdb4d3f42023e41bfed803eac33e33f9c741c41c565f73eb0ee1d3fb44a9a41c1888d4306b8d0414d6d6e3e7ff3c43f40feb741bf467d3eac0f2f3f9c5fcc41c52cb63eb0efdd3fb44a2a41c185824306bcdc54414d85803e7f0b543f4154ca41bea1c93eac22693f9c452441c4d8f63eb103f63fb431b341c18b354306bfd8414d74503e7f43423f409c6941be026c3eac19ab3f9c154d41c4969a3eb110323fb4207141c183490155dbbd
S4B,1,31,last_n,25505,-25505,0,,,,0,34,S4B_Table1.tsv,bda0016ffd100d0ffd090100000600022c7900009c5f00009ce40000a0dcbd
S4B,1,31,last_n,25500,-25500,0,,,,0,37,S4B_Table1.tsv,bda0016ffd100d0ffd090200000600022c7900009c6400009ce400002f14bd
S4B,1,245,,,,,,,,0,39,S4B_Table1.tsv,bdaffd00011ffd200d890200000200009c6400054306d4f0414d631e3e7daf8c3f3eaac741ba5e233eab64c93f9b416641c2bf443eb0c5eb3fb3a88341c13dfd4306d874414e2a8b3e7d582d3f3eaf2641b9cddd3eab6ca73f9b146541c262813eb072093fb393fa41c123da4306dbf8415016393e7ce1553f3e742a41b938c23eab2bfe3f9ae30741c20e763eb078263fb38e8441c1109b4306df7c4152b8243e7d48713f3d84bcdd41b8b4f93eab39f93f9ad0ad41c1c87c3eb094fd3fb367a041c0fff54306e3004155f4c83e7c733c3f3da74141b835573eab70263f9a9e6f41c171d73eb0a6763fb3519041c0f31901369abd
S4B,1,31,last_n,25495,-25495,0,,,,0,40,S4B_Table1.tsv,bda0016ffd100d0ffd090300000600022c7900009c6900009ce4000074d5bd
S4B,1,31,last_n,25490,-25490,0,,,,0,43,S4B_Table1.tsv,bda0016ffd100d0ffd090400000600022c7900009c6e00009ce40000b91bbd
S4B,1,246,,,,,,,,0,45,S4B_Table1.tsv,bdaffd00011ffd200d890400000200009c6e00054306f81841579bb23e7ace0e3f3ba49241b5a74f3eab897e3f99bcdcfd41bf94b63eb021a53fb2a56b41c03e564306fb9c415704683e7a22cb3f3b00bcdd41b55ec13eab6bc63f999df741bf45bf3eb027c13fb2a06741c024a94306ff2041567ae03e796b4a3f3aafe741b520043eab40163f99743f41befa213eb04c753fb26f0741c002a3430702a4415632ac3e78c0043f3a3c9041b511533eab668a3f993e4a41bead153eafeef53fb2531141bfeada430706284155cb853e78b74a3f38d10e41b51b253eaaf4f13f992a6941be65023eb004ce3fb2209c41bfc26a017c45bd
S4B,1,31,last_n,25485,-25485,0,,,,0,46,S4B_Table1.tsv,bda0016ffd100d0ffd090500000600022c7900009c7300009ce40000237dbd
S4B,1,31,last_n,25480,-25480,0,,,,0,49,S4B_Table1.tsv,bda0016ffd100d0ffd090600000600022c7900009c7800009ce4000073edbd
S4B,1,31,last_n,25475,-25475,0,,,,0,52,S4B_Table1.tsv,bda0016ffd100d0ffd090700000600022c7900009c7d00009ce400004526bd
S4B,1,31,last_n,25470,-25470,0,,,,0,55,S4B_Table1.tsv,bda0016ffd100d0ffd090800000600022c7900009c8200009ce40000ffdebd
S4B,1,31,last_n,25465,-25465,0,,,,0,58,S4B_Table1.tsv,bda0016ffd100d0ffd090900000600022c7900009c8700009ce400008635bd
