strip,year,biomass_lb_strip,biomass_lb_ac,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,N_uptake_lb_ac,P_uptake_lb_ac,K_uptake_lb_ac,N_fert_lb_strip,P_fert_lb_strip,K_fert_lb_strip,spring_date,spring_P_ppm,spring_K_ppm,bulk_density_g_cm3,soil_mass_lb_ac_8in,soil_mass_lb_strip_8in,spring_P_lb_ac,spring_P_lb_strip,spring_K_lb_ac,spring_K_lb_strip,fall_date,fall_P_ppm,fall_K_ppm,fall_P_lb_ac,fall_P_lb_strip,fall_K_lb_ac,fall_K_lb_strip,delta_P_lb_strip,delta_K_lb_strip,delta_P_lb_ac,delta_K_lb_ac,P_unexplained_lb_strip,K_unexplained_lb_strip
S1,2023,526.7373,1781.4189,11.9395,1.6115,10.3818,40.3792,5.4501,35.111,15.0,30.0,10.0,2023-03-31,12.2,132,1.32,2646616.5414,782562.4668,32.2887,9.5473,349.3534,103.2982,2023-10-09,7.5,100.0,19.8496,5.8692,264.6617,78.2562,-3.678,-25.042,-12.4391,-84.6917,32.0665,24.6602
S1,2024,1762.5742,5961.0042,33.8835,0.0,0.0,114.5934,0.0,0.0,0.0,0.0,0.0,2024-03-20,13.2,153,1.32,2646616.5414,782562.4668,34.9353,10.3298,404.9323,119.7321,2024-11-05,12.5,151.0,33.0827,9.782,399.6391,118.1669,-0.5478,-1.5651,-1.8526,-5.2932,0.5478,1.5651
S1,2025,1031.7046,3489.2121,14.9149,2.1415,14.8186,50.442,7.2424,50.1164,12.5,12.5,0.0,2025-03-31,11.4,168,1.32,2646616.5414,782562.4668,30.1714,8.9212,444.6316,131.4705,,,,,,,,,,,,,
S2,2023,465.6868,1574.9471,9.8994,1.3519,9.4137,33.4796,4.572,31.8371,15.0,30.0,10.0,2023-03-31,11.4,130,1.46,2927318.2957,865561.5163,33.3714,9.8674,380.5514,112.523,2023-10-09,8.0,81.0,23.4185,6.9245,237.1128,70.1105,-2.9429,-42.4125,-9.9529,-143.4386,31.591,42.9988
S2,2024,2197.8147,7432.9822,52.164,0.0,0.0,176.418,0.0,0.0,17.5,10.0,17.5,2024-03-20,10.0,83,1.46,2927318.2957,865561.5163,29.2732,8.6556,242.9674,71.8416,2024-11-05,11.2,96.0,32.786,9.6943,281.0226,83.0939,1.0387,11.2523,3.5128,38.0551,8.9613,6.2477
S2,2025,1148.9151,3885.6165,15.8429,2.4355,16.9581,53.5806,8.2369,57.352,17.5,12.5,12.5,2025-03-31,10.1,96,1.46,2927318.2957,865561.5163,29.5659,8.7422,281.0226,83.0939,,,,,,,,,,,,,
S3,2023,465.8446,1575.4806,9.0602,1.4151,9.0032,30.6415,4.7858,30.4488,15.0,30.0,40.0,2023-03-31,12.5,124,1.51,3027568.9223,895204.034,37.8446,11.1901,375.4185,111.0053,2023-10-09,8.9,65.0,26.9454,7.9673,196.792,58.1883,-3.2227,-52.817,-10.8992,-178.6266,31.8077,83.8138
S3,2024,1301.7777,4402.5961,21.2718,0.0,0.0,71.9409,0.0,0.0,2.5,0.0,0.0,2024-03-20,16.1,153,1.51,3027568.9223,895204.034,48.7439,14.4128,463.218,136.9662,2024-11-05,9.0,75.0,27.2481,8.0568,227.0677,67.1403,-6.3559,-69.8259,-21.4957,-236.1504,6.3559,69.8259
S3,2025,1014.194,3429.9916,13.2324,2.0758,14.1251,44.752,7.0204,47.7709,10.0,15.0,20.0,2025-03-31,7.9,76,1.51,3027568.9223,895204.034,23.9178,7.0721,230.0952,68.0355,,,,,,,,,,,,,
S4,2023,464.1093,1569.6119,8.7546,1.3364,8.9272,29.6079,4.5196,30.1917,15.0,30.0,40.0,2023-03-31,16.2,117,1.5,3007518.797,889275.5304,48.7218,14.4063,351.8797,104.0452,2023-10-09,7.9,63.0,23.7594,7.0253,189.4737,56.0244,-7.381,-48.0209,-24.9624,-162.406,36.0446,79.0937
S4,2024,1480.5119,5007.0728,26.0427,0.0,0.0,88.0762,0.0,0.0,7.5,12.5,0.0,2024-03-20,13.1,96,1.5,3007518.797,889275.5304,39.3985,11.6495,288.7218,85.3705,2024-11-05,9.9,75.0,29.7744,8.8038,225.5639,66.6957,-2.8457,-18.6748,-9.6241,-63.1579,15.3457,18.6748
S4,2025,1267.3876,4286.289,16.6571,2.4634,17.1896,56.3339,8.3313,58.135,17.5,12.5,17.5,2025-03-31,11.7,83,1.5,3007518.797,889275.5304,35.188,10.4045,249.6241,73.8099,,,,,,,,,,,,,
