strip,year,biomass_lb_strip,biomass_lb_ac,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,N_uptake_lb_ac,P_uptake_lb_ac,K_uptake_lb_ac,N_fert_lb_strip,P_fert_lb_strip,K_fert_lb_strip,treatment_group,biochar,N_budget_lb_strip,N_use_efficiency,P_budget_lb_strip,P_use_efficiency,K_budget_lb_strip,K_use_efficiency
S1,2023,526.7373,1781.4189,11.9395,1.6115,10.3818,40.3792,5.4501,35.111,15.0,30.0,10.0,biochar_lowK,True,3.0605,0.796,28.3885,0.0537,-0.3818,1.0382
S1,2024,1762.5742,5961.0042,33.8835,0.0,0.0,114.5934,0.0,0.0,0.0,0.0,0.0,biochar_lowK,True,-33.8835,,0.0,,0.0,
S1,2025,1031.7046,3489.2121,14.9149,2.1415,14.8186,50.442,7.2424,50.1164,12.5,12.5,0.0,biochar_lowK,True,-2.4149,1.1932,10.3585,0.1713,-14.8186,
S2,2023,465.6868,1574.9471,9.8994,1.3519,9.4137,33.4796,4.572,31.8371,15.0,30.0,10.0,control_lowK,False,5.1006,0.66,28.6481,0.0451,0.5863,0.9414
S2,2024,2197.8147,7432.9822,52.164,0.0,0.0,176.418,0.0,0.0,17.5,10.0,17.5,control_lowK,False,-34.664,2.9808,10.0,0.0,17.5,0.0
S2,2025,1148.9151,3885.6165,15.8429,2.4355,16.9581,53.5806,8.2369,57.352,17.5,12.5,12.5,control_lowK,False,1.6571,0.9053,10.0645,0.1948,-4.4581,1.3566
S3,2023,465.8446,1575.4806,9.0602,1.4151,9.0032,30.6415,4.7858,30.4488,15.0,30.0,40.0,biochar_highK,True,5.9398,0.604,28.5849,0.0472,30.9968,0.2251
S3,2024,1301.7777,4402.5961,21.2718,0.0,0.0,71.9409,0.0,0.0,2.5,0.0,0.0,biochar_highK,True,-18.7718,8.5087,0.0,,0.0,
S3,2025,1014.194,3429.9916,13.2324,2.0758,14.1251,44.752,7.0204,47.7709,10.0,15.0,20.0,biochar_highK,True,-3.2324,1.3232,12.9242,0.1384,5.8749,0.7063
S4,2023,464.1093,1569.6119,8.7546,1.3364,8.9272,29.6079,4.5196,30.1917,15.0,30.0,40.0,control_highK,False,6.2454,0.5836,28.6636,0.0445,31.0728,0.2232
S4,2024,1480.5119,5007.0728,26.0427,0.0,0.0,88.0762,0.0,0.0,7.5,12.5,0.0,control_highK,False,-18.5427,3.4724,12.5,0.0,0.0,
S4,2025,1267.3876,4286.289,16.6571,2.4634,17.1896,56.3339,8.3313,58.135,17.5,12.5,17.5,control_highK,False,0.8429,0.9518,10.0366,0.1971,0.3104,0.9823
