strip,treatment_group,biochar_applied_2023,sample_date,nir_date_match,days_between_biomass_and_nir,n_positions,mean_dry_weight_g,sd_dry_weight_g,min_dry_weight_g,max_dry_weight_g,frame_area_ft2,strip_area_ft2,strip_area_ac,g_per_ft2,estimated_strip_biomass_g,estimated_strip_biomass_lb,estimated_biomass_lb_ac,crude_protein_pct_db,N_pct_db,P_pct_db,K_pct_db,Ca_pct_db,Mg_pct_db,RFQ,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,Ca_uptake_lb_strip,Mg_uptake_lb_strip,N_uptake_lb_ac,P_uptake_lb_ac,K_uptake_lb_ac,Ca_uptake_lb_ac,Mg_uptake_lb_ac,N_fertilizer_lb_strip,P_fertilizer_lb_strip,K_fertilizer_lb_strip,N_budget_lb_strip_fert_minus_uptake,P_budget_lb_strip_fert_minus_uptake,K_budget_lb_strip_fert_minus_uptake
S1,biochar_lowK,True,2023-06-12,2023-06-14,2,3,38.96666666666667,20.462730348937637,18.1,59.0,6.0,12880,0.2956841138659321,6.4944444444444445,83648.44444444444,184.41325290468276,623.6833304757749,11.3,1.808,0.23,1.74,0.33,0.17,110,3.334191612516664,0.42415048168077035,3.2087906005414797,0.6085637345854531,0.31350252993796074,11.27619461500201,1.4344716600942824,10.852089950278483,2.058154990570057,1.0602616618088174,15,30,10,11.665808387483336,29.57584951831923,6.79120939945852
S2,control_lowK,False,2023-06-12,2023-06-14,2,3,53.5,17.343874999549556,42.6,73.5,6.0,12880,0.2956841138659321,8.916666666666666,114846.66666666666,253.19355937725905,856.297472552283,12.1,1.936,0.23,1.75,0.33,0.19,130,4.901827309543735,0.5823451865676958,4.430887289102034,0.8355387459449548,0.4810677628167922,16.577919068612196,1.9694841868702508,14.985205769664955,2.825781659422534,1.6269651978493378,15,30,10,10.098172690456266,29.417654813432303,5.569112710897966
S3,biochar_highK,True,2023-06-12,2023-06-14,2,3,26.099999999999998,24.4685512444035,9.5,54.2,6.0,12880,0.2956841138659321,4.35,56027.99999999999,123.5205962569432,417.74512212363703,9.9,1.584,0.22,1.35,0.31,0.15,105,1.95656624470998,0.27174531176527505,1.6675280494687332,0.38291384839652387,0.18528089438541478,6.61708273443841,0.9190392686720015,5.6395591486691,1.2950098785832747,0.6266176831854555,15,30,40,13.04343375529002,29.728254688234724,38.332471950531264
S4,control_highK,False,2023-06-12,2023-06-14,2,3,53.26666666666667,28.22239063816766,32.5,85.4,6.0,12880,0.2956841138659321,8.877777777777778,114345.77777777778,252.08928840178191,852.5628418308712,10.9,1.744,0.25,1.69,0.35,0.22,112,4.396437189727076,0.6302232210044548,4.260308973990114,0.8823125094062366,0.5545964344839203,14.868695961530394,2.131407104577178,14.408312026941722,2.983969946408049,1.8756382520279167,15,30,40,10.603562810272923,29.369776778995544,35.739691026009886
S1,biochar_lowK,True,2023-07-25,2023-08-01,7,3,40.63333333333333,22.425952228017724,14.8,55.1,6.0,12880,0.2956841138659321,6.772222222222222,87226.22222222222,192.3009027295195,650.3592642001452,16.5,2.64,0.36,2.24,0.75,0.32,122,5.076743832059314,0.6922832498262702,4.307540221141237,1.4422567704713962,0.6153628887344624,17.169484574883832,2.3412933511205227,14.568047518083254,4.877694481501089,2.0811496454404645,15,30,10,9.923256167940686,29.30771675017373,5.692459778858763
S2,control_lowK,False,2023-07-25,2023-08-01,7,3,29.266666666666666,36.166605222682065,0.6,69.9,6.0,12880,0.2956841138659321,4.877777777777777,62825.777777777774,138.50713092413298,468.4293961999404,15.5,2.48,0.39,2.62,0.8,0.31,115,3.434976846918498,0.5401778106041186,3.6288868302122843,1.1080570473930638,0.4293721058648122,11.617049025758522,1.8268746451797677,12.27285018043844,3.747435169599523,1.4521311282198153,15,30,10,11.565023153081501,29.459822189395883,6.371113169787716
S3,biochar_highK,True,2023-07-25,2023-08-01,7,3,25.3,30.87280356559799,0.0,59.7,6.0,12880,0.2956841138659321,4.216666666666667,54310.66666666667,119.73452434102158,404.9406739359394,14.4,2.3040000000000003,0.36,2.39,0.75,0.33,112,2.7586834408171375,0.4310442876276777,2.8616551317504157,0.8980089325576618,0.39512393032537124,9.329833127484044,1.4577864261693818,9.678082107068953,3.0370550545195454,1.3363042239886,15,30,40,12.241316559182863,29.568955712372322,37.13834486824958
S4,control_highK,False,2023-07-25,2023-08-01,7,3,19.5,20.142740627829177,1.4,41.2,6.0,12880,0.2956841138659321,3.25,41860.0,92.28550295058974,312.10842457513115,12.0,1.92,0.35,2.54,0.76,0.34,107,1.771881656651323,0.32299926032706405,2.3440517749449796,0.7013698224244821,0.31377071003200513,5.992481751842518,1.092379486012959,7.927553984208331,2.3720240267709967,1.061168643555446,15,30,40,13.228118343348678,29.677000739672938,37.65594822505502
S1,biochar_lowK,True,2023-10-05,2023-10-09,4,3,31.7,18.067650649710934,10.9,43.5,6.0,12880,0.2956841138659321,5.283333333333333,68049.33333333333,150.02309966839462,507.37625943752096,14.7,2.352,0.33,1.91,0.58,0.3,149,3.5285433042006416,0.49507622890570224,2.8654412036663373,0.8701339780766888,0.4500692990051839,11.933489621970493,1.6743416561438191,9.69088655525665,2.942782304737621,1.522128778312563,15,30,10,11.471456695799358,29.504923771094298,7.134558796333662
S2,control_lowK,False,2023-10-05,2023-10-09,4,3,15.633333333333333,8.931032041893777,5.7,23.0,6.0,12880,0.2956841138659321,2.6055555555555556,33559.555555555555,73.98615535696854,250.22025833459236,13.2,2.112,0.31,1.83,0.54,0.28,146,1.5625876011391755,0.22935708160660245,1.3539466430325242,0.39952523892763014,0.20716123499951195,5.28465185602659,0.7756828008372363,4.57903072752304,1.3511893950067988,0.7006167233368588,15,30,10,13.437412398860825,29.7706429183934,8.646053356967476
S3,biochar_highK,True,2023-10-05,2023-10-09,4,3,47.03333333333333,23.931220890989522,19.4,60.9,6.0,12880,0.2956841138659321,7.838888888888889,100964.88888888889,222.58947805689255,752.7948497017267,12.2,1.952,0.32,2.01,0.6,0.28,134,4.344946611670542,0.7122863297820562,4.47404850894354,1.3355368683413553,0.6232505385592992,14.694555466177704,2.4089435190455255,15.131176479004703,4.51676909821036,2.107825579164835,15,30,40,10.655053388329458,29.287713670217943,35.52595149105646
S4,control_highK,False,2023-10-05,2023-10-09,4,3,25.3,12.229472596968357,11.3,33.9,6.0,12880,0.2956841138659321,4.216666666666667,54310.66666666667,119.73452434102158,404.9406739359394,13.5,2.16,0.32,1.94,0.62,0.33,138,2.5862657257660664,0.3831504778912691,2.3228497722158186,0.7423540509143338,0.39512393032537124,8.746718557016292,1.2958101565950062,7.8558490743572245,2.5106321784028243,1.3363042239886,15,30,40,12.413734274233933,29.61684952210873,37.67715022778418
