strip,treatment_group,biochar_applied_2023,sample_date,nir_date_match,days_between_biomass_and_nir,n_positions,mean_dry_weight_g,sd_dry_weight_g,min_dry_weight_g,max_dry_weight_g,frame_area_ft2,strip_area_ft2,strip_area_ac,g_per_ft2,estimated_strip_biomass_g,estimated_strip_biomass_lb,estimated_biomass_lb_ac,crude_protein_pct_db,N_pct_db,P_pct_db,K_pct_db,Ca_pct_db,Mg_pct_db,RFQ,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,Ca_uptake_lb_strip,Mg_uptake_lb_strip,N_uptake_lb_ac,P_uptake_lb_ac,K_uptake_lb_ac,Ca_uptake_lb_ac,Mg_uptake_lb_ac,N_fertilizer_lb_strip,P_fertilizer_lb_strip,K_fertilizer_lb_strip,N_budget_lb_strip_fert_minus_uptake,P_budget_lb_strip_fert_minus_uptake,K_budget_lb_strip_fert_minus_uptake
S1,biochar_lowK,True,2023-06-12,2023-06-14,2,3,38.9667,20.4627,18.1,59.0,6.0,12880,0.2957,6.4944,83648.4444,184.4133,623.6833,11.3,1.808,0.23,1.74,0.33,0.17,110,3.3342,0.4242,3.2088,0.6086,0.3135,11.2762,1.4345,10.8521,2.0582,1.0603,15,30,10,11.6658,29.5758,6.7912
S2,control_lowK,False,2023-06-12,2023-06-14,2,3,53.5,17.3439,42.6,73.5,6.0,12880,0.2957,8.9167,114846.6667,253.1936,856.2975,12.1,1.936,0.23,1.75,0.33,0.19,130,4.9018,0.5823,4.4309,0.8355,0.4811,16.5779,1.9695,14.9852,2.8258,1.627,15,30,10,10.0982,29.4177,5.5691
S3,biochar_highK,True,2023-06-12,2023-06-14,2,3,26.1,24.4686,9.5,54.2,6.0,12880,0.2957,4.35,56028.0,123.5206,417.7451,9.9,1.584,0.22,1.35,0.31,0.15,105,1.9566,0.2717,1.6675,0.3829,0.1853,6.6171,0.919,5.6396,1.295,0.6266,15,30,40,13.0434,29.7283,38.3325
S4,control_highK,False,2023-06-12,2023-06-14,2,3,53.2667,28.2224,32.5,85.4,6.0,12880,0.2957,8.8778,114345.7778,252.0893,852.5628,10.9,1.744,0.25,1.69,0.35,0.22,112,4.3964,0.6302,4.2603,0.8823,0.5546,14.8687,2.1314,14.4083,2.984,1.8756,15,30,40,10.6036,29.3698,35.7397
S1,biochar_lowK,True,2023-07-25,2023-08-01,7,3,40.6333,22.426,14.8,55.1,6.0,12880,0.2957,6.7722,87226.2222,192.3009,650.3593,16.5,2.64,0.36,2.24,0.75,0.32,122,5.0767,0.6923,4.3075,1.4423,0.6154,17.1695,2.3413,14.568,4.8777,2.0811,15,30,10,9.9233,29.3077,5.6925
S2,control_lowK,False,2023-07-25,2023-08-01,7,3,29.2667,36.1666,0.6,69.9,6.0,12880,0.2957,4.8778,62825.7778,138.5071,468.4294,15.5,2.48,0.39,2.62,0.8,0.31,115,3.435,0.5402,3.6289,1.1081,0.4294,11.617,1.8269,12.2729,3.7474,1.4521,15,30,10,11.565,29.4598,6.3711
S3,biochar_highK,True,2023-07-25,2023-08-01,7,3,25.3,30.8728,0.0,59.7,6.0,12880,0.2957,4.2167,54310.6667,119.7345,404.9407,14.4,2.304,0.36,2.39,0.75,0.33,112,2.7587,0.431,2.8617,0.898,0.3951,9.3298,1.4578,9.6781,3.0371,1.3363,15,30,40,12.2413,29.569,37.1383
S4,control_highK,False,2023-07-25,2023-08-01,7,3,19.5,20.1427,1.4,41.2,6.0,12880,0.2957,3.25,41860.0,92.2855,312.1084,12.0,1.92,0.35,2.54,0.76,0.34,107,1.7719,0.323,2.3441,0.7014,0.3138,5.9925,1.0924,7.9276,2.372,1.0612,15,30,40,13.2281,29.677,37.6559
S1,biochar_lowK,True,2023-10-05,2023-10-09,4,3,31.7,18.0677,10.9,43.5,6.0,12880,0.2957,5.2833,68049.3333,150.0231,507.3763,14.7,2.352,0.33,1.91,0.58,0.3,149,3.5285,0.4951,2.8654,0.8701,0.4501,11.9335,1.6743,9.6909,2.9428,1.5221,15,30,10,11.4715,29.5049,7.1346
S2,control_lowK,False,2023-10-05,2023-10-09,4,3,15.6333,8.931,5.7,23.0,6.0,12880,0.2957,2.6056,33559.5556,73.9862,250.2203,13.2,2.112,0.31,1.83,0.54,0.28,146,1.5626,0.2294,1.3539,0.3995,0.2072,5.2847,0.7757,4.579,1.3512,0.7006,15,30,10,13.4374,29.7706,8.6461
S3,biochar_highK,True,2023-10-05,2023-10-09,4,3,47.0333,23.9312,19.4,60.9,6.0,12880,0.2957,7.8389,100964.8889,222.5895,752.7948,12.2,1.952,0.32,2.01,0.6,0.28,134,4.3449,0.7123,4.474,1.3355,0.6233,14.6946,2.4089,15.1312,4.5168,2.1078,15,30,40,10.6551,29.2877,35.526
S4,control_highK,False,2023-10-05,2023-10-09,4,3,25.3,12.2295,11.3,33.9,6.0,12880,0.2957,4.2167,54310.6667,119.7345,404.9407,13.5,2.16,0.32,1.94,0.62,0.33,138,2.5863,0.3832,2.3228,0.7424,0.3951,8.7467,1.2958,7.8558,2.5106,1.3363,15,30,40,12.4137,29.6168,37.6772
