strip,sample_date,estimated_strip_biomass_lb,estimated_biomass_lb_ac,N_pct_db,P_pct_db,K_pct_db,N_uptake_lb_strip,P_uptake_lb_strip,K_uptake_lb_strip,N_budget_lb_strip_fert_minus_uptake,P_budget_lb_strip_fert_minus_uptake,K_budget_lb_strip_fert_minus_uptake
S1,2023-06-12,184.4133,623.6833,1.808,0.23,1.74,3.3342,0.4242,3.2088,11.6658,29.5758,6.7912
S2,2023-06-12,253.1936,856.2975,1.936,0.23,1.75,4.9018,0.5823,4.4309,10.0982,29.4177,5.5691
S3,2023-06-12,123.5206,417.7451,1.584,0.22,1.35,1.9566,0.2717,1.6675,13.0434,29.7283,38.3325
S4,2023-06-12,252.0893,852.5628,1.744,0.25,1.69,4.3964,0.6302,4.2603,10.6036,29.3698,35.7397
S1,2023-07-25,192.3009,650.3593,2.64,0.36,2.24,5.0767,0.6923,4.3075,9.9233,29.3077,5.6925
S2,2023-07-25,138.5071,468.4294,2.48,0.39,2.62,3.435,0.5402,3.6289,11.565,29.4598,6.3711
S3,2023-07-25,119.7345,404.9407,2.304,0.36,2.39,2.7587,0.431,2.8617,12.2413,29.569,37.1383
S4,2023-07-25,92.2855,312.1084,1.92,0.35,2.54,1.7719,0.323,2.3441,13.2281,29.677,37.6559
S1,2023-10-05,150.0231,507.3763,2.352,0.33,1.91,3.5285,0.4951,2.8654,11.4715,29.5049,7.1346
S2,2023-10-05,73.9862,250.2203,2.112,0.31,1.83,1.5626,0.2294,1.3539,13.4374,29.7706,8.6461
S3,2023-10-05,222.5895,752.7948,1.952,0.32,2.01,4.3449,0.7123,4.474,10.6551,29.2877,35.526
S4,2023-10-05,119.7345,404.9407,2.16,0.32,1.94,2.5863,0.3832,2.3228,12.4137,29.6168,37.6772
