strip,year,date_rec,olsen_p_ppm_p,potassium_ppm_k,bulk_density_g_cm3,soil_mass_lb_ac_8in,soil_mass_lb_strip_8in,P_lb_ac_8in,P_lb_strip_8in,K_lb_ac_8in,K_lb_strip_8in,sample_order
S1,2023,2023-03-31,12.2,132,1.32,2646616.5414,782562.4668,32.2887,9.5473,349.3534,103.2982,1
S1,2023,2023-10-09,7.5,100,1.32,2646616.5414,782562.4668,19.8496,5.8692,264.6617,78.2562,2
S1,2024,2024-03-20,13.2,153,1.32,2646616.5414,782562.4668,34.9353,10.3298,404.9323,119.7321,1
S1,2024,2024-11-05,12.5,151,1.32,2646616.5414,782562.4668,33.0827,9.782,399.6391,118.1669,2
S1,2025,2025-03-31,11.4,168,1.32,2646616.5414,782562.4668,30.1714,8.9212,444.6316,131.4705,1
S2,2023,2023-03-31,11.4,130,1.46,2927318.2957,865561.5163,33.3714,9.8674,380.5514,112.523,1
S2,2023,2023-10-09,8.0,81,1.46,2927318.2957,865561.5163,23.4185,6.9245,237.1128,70.1105,2
S2,2024,2024-03-20,10.0,83,1.46,2927318.2957,865561.5163,29.2732,8.6556,242.9674,71.8416,1
S2,2024,2024-11-05,11.2,96,1.46,2927318.2957,865561.5163,32.786,9.6943,281.0226,83.0939,2
S2,2025,2025-03-31,10.1,96,1.46,2927318.2957,865561.5163,29.5659,8.7422,281.0226,83.0939,1
S3,2023,2023-03-31,12.5,124,1.51,3027568.9223,895204.034,37.8446,11.1901,375.4185,111.0053,1
S3,2023,2023-10-09,8.9,65,1.51,3027568.9223,895204.034,26.9454,7.9673,196.792,58.1883,2
S3,2024,2024-03-20,16.1,153,1.51,3027568.9223,895204.034,48.7439,14.4128,463.218,136.9662,1
S3,2024,2024-11-05,9.0,75,1.51,3027568.9223,895204.034,27.2481,8.0568,227.0677,67.1403,2
S3,2025,2025-03-31,7.9,76,1.51,3027568.9223,895204.034,23.9178,7.0721,230.0952,68.0355,1
S4,2023,2023-03-31,16.2,117,1.5,3007518.797,889275.5304,48.7218,14.4063,351.8797,104.0452,1
S4,2023,2023-10-09,7.9,63,1.5,3007518.797,889275.5304,23.7594,7.0253,189.4737,56.0244,2
S4,2024,2024-03-20,13.1,96,1.5,3007518.797,889275.5304,39.3985,11.6495,288.7218,85.3705,1
S4,2024,2024-11-05,9.9,75,1.5,3007518.797,889275.5304,29.7744,8.8038,225.5639,66.6957,2
S4,2025,2025-03-31,11.7,83,1.5,3007518.797,889275.5304,35.188,10.4045,249.6241,73.8099,1
