strip,year,spring_date,spring_P_ppm,spring_K_ppm,bulk_density_g_cm3,soil_mass_lb_ac_8in,soil_mass_lb_strip_8in,spring_P_lb_ac,spring_P_lb_strip,spring_K_lb_ac,spring_K_lb_strip,fall_date,fall_P_ppm,fall_K_ppm,fall_P_lb_ac,fall_P_lb_strip,fall_K_lb_ac,fall_K_lb_strip,delta_P_lb_strip,delta_K_lb_strip,delta_P_lb_ac,delta_K_lb_ac
S1,2023,2023-03-31,12.2,132,1.32,2646616.5414,782562.4668,32.2887,9.5473,349.3534,103.2982,2023-10-09,7.5,100.0,19.8496,5.8692,264.6617,78.2562,-3.678,-25.042,-12.4391,-84.6917
S1,2024,2024-03-20,13.2,153,1.32,2646616.5414,782562.4668,34.9353,10.3298,404.9323,119.7321,2024-11-05,12.5,151.0,33.0827,9.782,399.6391,118.1669,-0.5478,-1.5651,-1.8526,-5.2932
S1,2025,2025-03-31,11.4,168,1.32,2646616.5414,782562.4668,30.1714,8.9212,444.6316,131.4705,,,,,,,,,,,
S2,2023,2023-03-31,11.4,130,1.46,2927318.2957,865561.5163,33.3714,9.8674,380.5514,112.523,2023-10-09,8.0,81.0,23.4185,6.9245,237.1128,70.1105,-2.9429,-42.4125,-9.9529,-143.4386
S2,2024,2024-03-20,10.0,83,1.46,2927318.2957,865561.5163,29.2732,8.6556,242.9674,71.8416,2024-11-05,11.2,96.0,32.786,9.6943,281.0226,83.0939,1.0387,11.2523,3.5128,38.0551
S2,2025,2025-03-31,10.1,96,1.46,2927318.2957,865561.5163,29.5659,8.7422,281.0226,83.0939,,,,,,,,,,,
S3,2023,2023-03-31,12.5,124,1.51,3027568.9223,895204.034,37.8446,11.1901,375.4185,111.0053,2023-10-09,8.9,65.0,26.9454,7.9673,196.792,58.1883,-3.2227,-52.817,-10.8992,-178.6266
S3,2024,2024-03-20,16.1,153,1.51,3027568.9223,895204.034,48.7439,14.4128,463.218,136.9662,2024-11-05,9.0,75.0,27.2481,8.0568,227.0677,67.1403,-6.3559,-69.8259,-21.4957,-236.1504
S3,2025,2025-03-31,7.9,76,1.51,3027568.9223,895204.034,23.9178,7.0721,230.0952,68.0355,,,,,,,,,,,
S4,2023,2023-03-31,16.2,117,1.5,3007518.797,889275.5304,48.7218,14.4063,351.8797,104.0452,2023-10-09,7.9,63.0,23.7594,7.0253,189.4737,56.0244,-7.381,-48.0209,-24.9624,-162.406
S4,2024,2024-03-20,13.1,96,1.5,3007518.797,889275.5304,39.3985,11.6495,288.7218,85.3705,2024-11-05,9.9,75.0,29.7744,8.8038,225.5639,66.6957,-2.8457,-18.6748,-9.6241,-63.1579
S4,2025,2025-03-31,11.7,83,1.5,3007518.797,889275.5304,35.188,10.4045,249.6241,73.8099,,,,,,,,,,,
