sample_id,date_rec,date_rept,past_crop,1_1_soil_ph,wdrf_buffer_ph,1_1_s_salts_mmho_cm,excess_lime,organic_matter_loi_pct,olsen_p_ppm_p,potassium_ppm_k,sulfate_s_ppm_s,zinc_ppm_zn,iron_ppm_fe,manganese_ppm_mn,copper_ppm_cu,calcium_ppm_ca,magnesium_ppm_mg,sodium_ppm_na,cec_sum_of_cations_me_100g,pcth_sat,pctk_sat,pctca_sat,pctmg_sat,pctna_sat,crop_1,yg_1,nitrogen_rec,p2o5_rec,k2o_rec,sulfur_rec,zinc_rec,magnesium_rec,iron_rec,manganese_rec,copper_rec,h2o_no3_n,organic_c_h2o_ppm,organic_n_h2o_ppm,organic_c_n_h2o,h2o_nh4_n,co2_soil_respiration,water_stable_aggregates_mod,total_n_h2o_ppm_n,soil_health_score,microbially_active_carbon_pctma,organic_nitrogen_release_ppm_n,organic_nitrogen_reserve_ppm_n,nitrate_n_ppm,soil_ph,cec_meq_100g,strip,begin_depth_in,end_depth_in,year,bulk_density_g_cm3,soil_mass_lb_strip_8in,P_lb_strip_spring,K_lb_strip_spring,sample_order,P_lb_strip_fall,K_lb_strip_fall,delta_P,delta_K
STRIP 1,2023-03-31,4/4/23,All Other Crops,7.8,7.2,0.52,HIGH,2.2,12.2,132,69.0,2.04,15.4,2.9,0.86,3556,342,189,21.8,0,2,81,13,4,Grass Mix T/A,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,147,17.0,8.6,0.8,38.3,44,21.8,9.02,26.0,17.0,0.0,3.93,7.8,21.8,S1,0,8,2023,1.32,782562.4668,9.5473,103.2982,1,5.8692,78.2562,-3.678,-25.042
STRIP 1,2024-03-20,3/22/24,All Other Crops,7.8,7.2,1.65,HIGH,2.2,13.2,153,283.5,1.67,7.9,0.9,0.66,3979,458,589,26.7,0,1,75,14,10,Grass T/A,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.64,157,16.7,9.4,0.1,41.4,20,17.4,9.49,26.5,16.7,0.0,0.64,7.8,26.7,S1,0,8,2024,1.32,782562.4668,10.3298,119.7321,1,9.782,118.1669,-0.5478,-1.5651
STRIP 1,2025-03-31,4/2/25,All Other Crops,8.3,7.2,0.37,HIGH,2.6,11.4,168,91.6,1.5,5.0,0.6,0.59,3877,422,312,24.7,0,2,79,14,5,Grass Mix T/A,2.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.71,126,11.9,10.5,0.4,19.0,39,13.0,5.98,15.1,7.2,4.7,0.71,8.3,24.7,S1,0,8,2025,1.32,782562.4668,8.9212,131.4705,1,8.7647,103.2982,-0.1565,-28.1722
STRIP 2,2023-03-31,4/4/23,All Other Crops,8.4,7.2,0.29,HIGH,1.9,11.4,130,10.7,1.96,15.8,2.7,0.87,3583,370,143,22.0,0,2,81,14,3,Grass Mix T/A,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,150,15.5,9.6,0.7,36.5,45,17.3,8.72,24.4,15.1,0.4,1.05,8.4,22.0,S2,0,8,2023,1.46,865561.5163,9.8674,112.523,1,6.9245,70.1105,-2.9429,-42.4125
STRIP 2,2024-03-20,3/22/24,All Other Crops,8.1,7.2,0.66,HIGH,2.0,10.0,83,91.4,1.38,8.9,0.7,0.71,3865,386,245,23.8,0,1,81,13,4,Grass T/A,2.0,35.0,20.0,35.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,115,12.2,9.4,< 0.1,9.6,20,12.7,4.69,8.3,4.1,8.1,0.4,8.1,23.8,S2,0,8,2024,1.46,865561.5163,8.6556,71.8416,1,9.6943,83.0939,1.0387,11.2523
STRIP 2,2025-03-31,4/2/25,All Other Crops,8.5,7.2,0.35,HIGH,2.1,10.1,96,52.9,1.13,5.1,0.5,0.57,3775,385,230,23.3,0,1,81,14,4,Grass Mix T/A,2.0,35.0,25.0,25.0,0.0,0.0,0.0,0.0,7.0,0.0,0.89,90,8.8,10.3,0.1,10.0,30,9.8,3.89,11.1,3.9,4.9,0.89,8.5,23.3,S2,0,8,2025,1.46,865561.5163,8.7422,83.0939,1,7.7901,70.1105,-0.9521,-12.9834
STRIP 3,2023-03-31,4/4/23,All Other Crops,8.5,7.2,0.63,HIGH,1.8,12.5,124,65.2,1.48,18.4,2.6,0.93,3532,396,300,22.6,0,1,78,15,6,Grass Mix T/A,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,144,20.5,7.1,1.1,31.3,35,21.6,8.56,21.7,17.7,2.7,0.1,8.5,22.6,S3,0,8,2023,1.51,895204.034,11.1901,111.0053,1,7.9673,58.1883,-3.2227,-52.817
STRIP 3,2024-03-20,3/22/24,All Other Crops,8.1,7.2,0.45,HIGH,2.3,16.1,153,45.4,1.11,12.1,1.4,0.6,3864,416,189,24.0,0,2,80,14,3,Grass T/A,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.45,134,12.1,11.0,0.3,46.0,17,12.9,9.05,34.4,12.1,0.0,0.45,8.1,24.0,S3,0,8,2024,1.51,895204.034,14.4128,136.9662,1,8.0568,67.1403,-6.3559,-69.8259
STRIP 3,2025-03-31,4/2/25,All Other Crops,8.6,7.2,0.37,HIGH,2.1,7.9,76,54.6,1.01,5.0,0.5,0.72,3304,331,226,20.5,0,1,81,13,5,Grass Mix T/A,2.0,20.0,30.0,40.0,0.0,0.0,0.0,0.0,8.0,0.0,0.98,95,8.8,10.7,0.3,23.0,25,10.1,5.49,24.3,8.6,0.2,0.98,8.6,20.5,S3,0,8,2025,1.51,895204.034,7.0721,68.0355,1,7.5197,68.0355,0.4476,0.0
STRIP 4,2023-03-31,4/4/23,All Other Crops,8.6,7.2,0.35,HIGH,1.6,16.2,117,42.6,1.39,21.0,3.6,0.85,3606,404,213,22.6,0,1,80,15,4,Grass Mix T/A,2.0,5.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,137,14.1,9.7,0.9,32.4,43,15.1,7.9,23.6,13.3,0.8,0.1,8.6,22.6,S4,0,8,2023,1.5,889275.5304,14.4063,104.0452,1,7.0253,56.0244,-7.381,-48.0209
