timestamp,BattV_Min_S1_T,VWC_1_raw_S1_T,EC_1_raw_S1_T,T_1_raw_S1_T,VWC_2_raw_S1_T,EC_2_raw_S1_T,T_2_raw_S1_T,VWC_3_raw_S1_T,EC_3_raw_S1_T,T_3_raw_S1_T,BattV_Min_S1_M,VWC_1_raw_S1_M,EC_1_raw_S1_M,T_1_raw_S1_M,VWC_2_raw_S1_M,EC_2_raw_S1_M,T_2_raw_S1_M,VWC_3_raw_S1_M,EC_3_raw_S1_M,T_3_raw_S1_M,BattV_Min_S1_B,VWC_1_raw_S1_B,EC_1_raw_S1_B,T_1_raw_S1_B,VWC_2_raw_S1_B,EC_2_raw_S1_B,T_2_raw_S1_B,VWC_3_raw_S1_B,EC_3_raw_S1_B,T_3_raw_S1_B,BattV_Min_S2_T,VWC_1_raw_S2_T,EC_1_raw_S2_T,T_1_raw_S2_T,VWC_2_raw_S2_T,EC_2_raw_S2_T,T_2_raw_S2_T,VWC_3_raw_S2_T,EC_3_raw_S2_T,T_3_raw_S2_T,BattV_Min_S2_M,VWC_1_raw_S2_M,EC_1_raw_S2_M,T_1_raw_S2_M,VWC_2_raw_S2_M,EC_2_raw_S2_M,T_2_raw_S2_M,VWC_3_raw_S2_M,EC_3_raw_S2_M,T_3_raw_S2_M,BattV_Min_S2_B,VWC_1_raw_S2_B,EC_1_raw_S2_B,T_1_raw_S2_B,VWC_2_raw_S2_B,EC_2_raw_S2_B,T_2_raw_S2_B,VWC_3_raw_S2_B,EC_3_raw_S2_B,T_3_raw_S2_B,BattV_Min_S3_T,VWC_1_raw_S3_T,EC_1_raw_S3_T,T_1_raw_S3_T,VWC_2_raw_S3_T,EC_2_raw_S3_T,T_2_raw_S3_T,VWC_3_raw_S3_T,EC_3_raw_S3_T,T_3_raw_S3_T,BattV_Min_S3_M,VWC_1_raw_S3_M,EC_1_raw_S3_M,T_1_raw_S3_M,VWC_2_raw_S3_M,EC_2_raw_S3_M,T_2_raw_S3_M,VWC_3_raw_S3_M,EC_3_raw_S3_M,T_3_raw_S3_M,BattV_Min_S3_B,VWC_1_raw_S3_B,EC_1_raw_S3_B,T_1_raw_S3_B,VWC_2_raw_S3_B,EC_2_raw_S3_B,T_2_raw_S3_B,VWC_3_raw_S3_B,EC_3_raw_S3_B,T_3_raw_S3_B,BattV_Min_S4_T,VWC_1_raw_S4_T,EC_1_raw_S4_T,T_1_raw_S4_T,VWC_2_raw_S4_T,EC_2_raw_S4_T,T_2_raw_S4_T,VWC_3_raw_S4_T,EC_3_raw_S4_T,T_3_raw_S4_T,BattV_Min_S4_M,VWC_1_raw_S4_M,EC_1_raw_S4_M,T_1_raw_S4_M,VWC_2_raw_S4_M,EC_2_raw_S4_M,T_2_raw_S4_M,VWC_3_raw_S4_M,EC_3_raw_S4_M,T_3_raw_S4_M,BattV_Min_S4_B,VWC_1_raw_S4_B,EC_1_raw_S4_B,T_1_raw_S4_B,VWC_2_raw_S4_B,EC_2_raw_S4_B,T_2_raw_S4_B,VWC_3_raw_S4_B,EC_3_raw_S4_B,T_3_raw_S4_B,SWC_vol_L_S1_T_1,SWC_vol_gal_S1_T_1,SWC_vol_L_S1_T_2,SWC_vol_gal_S1_T_2,SWC_vol_L_S1_T_3,SWC_vol_gal_S1_T_3,SWC_vol_L_S1_M_1,SWC_vol_gal_S1_M_1,SWC_vol_L_S1_M_2,SWC_vol_gal_S1_M_2,SWC_vol_L_S1_M_3,SWC_vol_gal_S1_M_3,SWC_vol_L_S1_B_1,SWC_vol_gal_S1_B_1,SWC_vol_L_S1_B_2,SWC_vol_gal_S1_B_2,SWC_vol_L_S1_B_3,SWC_vol_gal_S1_B_3,SWC_vol_L_S2_T_1,SWC_vol_gal_S2_T_1,SWC_vol_L_S2_T_2,SWC_vol_gal_S2_T_2,SWC_vol_L_S2_T_3,SWC_vol_gal_S2_T_3,SWC_vol_L_S2_M_1,SWC_vol_gal_S2_M_1,SWC_vol_L_S2_M_2,SWC_vol_gal_S2_M_2,SWC_vol_L_S2_M_3,SWC_vol_gal_S2_M_3,SWC_vol_L_S2_B_1,SWC_vol_gal_S2_B_1,SWC_vol_L_S2_B_2,SWC_vol_gal_S2_B_2,SWC_vol_L_S2_B_3,SWC_vol_gal_S2_B_3,SWC_vol_L_S3_T_1,SWC_vol_gal_S3_T_1,SWC_vol_L_S3_T_2,SWC_vol_gal_S3_T_2,SWC_vol_L_S3_T_3,SWC_vol_gal_S3_T_3,SWC_vol_L_S3_M_1,SWC_vol_gal_S3_M_1,SWC_vol_L_S3_M_2,SWC_vol_gal_S3_M_2,SWC_vol_L_S3_M_3,SWC_vol_gal_S3_M_3,SWC_vol_L_S3_B_1,SWC_vol_gal_S3_B_1,SWC_vol_L_S3_B_2,SWC_vol_gal_S3_B_2,SWC_vol_L_S3_B_3,SWC_vol_gal_S3_B_3,SWC_vol_L_S4_T_1,SWC_vol_gal_S4_T_1,SWC_vol_L_S4_T_2,SWC_vol_gal_S4_T_2,SWC_vol_L_S4_T_3,SWC_vol_gal_S4_T_3,SWC_vol_L_S4_M_1,SWC_vol_gal_S4_M_1,SWC_vol_L_S4_M_2,SWC_vol_gal_S4_M_2,SWC_vol_L_S4_M_3,SWC_vol_gal_S4_M_3,SWC_vol_L_S4_B_1,SWC_vol_gal_S4_B_1,SWC_vol_L_S4_B_2,SWC_vol_gal_S4_B_2,SWC_vol_L_S4_B_3,SWC_vol_gal_S4_B_3,Tdiff_1_S1_S2_T,Tdiff_2_S1_S2_T,Tdiff_3_S1_S2_T,Tdiff_1_S1_S2_M,Tdiff_2_S1_S2_M,Tdiff_3_S1_S2_M,Tdiff_1_S1_S2_B,Tdiff_2_S1_S2_B,Tdiff_3_S1_S2_B,Tdiff_1_S3_S4_T,Tdiff_2_S3_S4_T,Tdiff_3_S3_S4_T,Tdiff_1_S3_S4_M,Tdiff_2_S3_S4_M,Tdiff_3_S3_S4_M,Tdiff_1_S3_S4_B,Tdiff_2_S3_S4_B,Tdiff_3_S3_S4_B,SWCdiff_gal_S1_S2_T_1,SWCdiff_L_S1_S2_T_1,SWCdiff_gal_S1_S2_T_2,SWCdiff_L_S1_S2_T_2,SWCdiff_gal_S1_S2_T_3,SWCdiff_L_S1_S2_T_3,SWCdiff_gal_S1_S2_M_1,SWCdiff_L_S1_S2_M_1,SWCdiff_gal_S1_S2_M_2,SWCdiff_L_S1_S2_M_2,SWCdiff_gal_S1_S2_M_3,SWCdiff_L_S1_S2_M_3,SWCdiff_gal_S1_S2_B_1,SWCdiff_L_S1_S2_B_1,SWCdiff_gal_S1_S2_B_2,SWCdiff_L_S1_S2_B_2,SWCdiff_gal_S1_S2_B_3,SWCdiff_L_S1_S2_B_3,SWCdiff_gal_S3_S4_T_1,SWCdiff_L_S3_S4_T_1,SWCdiff_gal_S3_S4_T_2,SWCdiff_L_S3_S4_T_2,SWCdiff_gal_S3_S4_T_3,SWCdiff_L_S3_S4_T_3,SWCdiff_gal_S3_S4_M_1,SWCdiff_L_S3_S4_M_1,SWCdiff_gal_S3_S4_M_2,SWCdiff_L_S3_S4_M_2,SWCdiff_gal_S3_S4_M_3,SWCdiff_L_S3_S4_M_3,SWCdiff_gal_S3_S4_B_1,SWCdiff_L_S3_S4_B_1,SWCdiff_gal_S3_S4_B_2,SWCdiff_L_S3_S4_B_2,SWCdiff_gal_S3_S4_B_3,SWCdiff_L_S3_S4_B_3
2025-05-17 00:00:00,13.212,40.79,0.569,60.842,41.641,0.504,60.216,44.69,0.556,59.925,13.113,37.673,0.528,63.661,35.458,0.535,61.613,37.754,0.715,59.915,12.925,15.333,0.476,66.465,13.278,0.853,64.339,18.339,1.347,62.043,13.075,49.2,0.543,59.286,44.055,0.53,60.083,40.306,0.377,60.832,13.174,39.029,0.455,59.248,38.626,0.365,58.714,44.323,0.266,58.79,12.882,36.935,0.345,60.317,31.297,0.389,60.165,38.307,0.273,60.683,13.076,25.285,0.411,67.642,26.677,0.593,63.585,39.757,0.706,61.569,13.368,19.044,0.229,61.058,24.088,0.299,61.037,29.387,0.275,60.374,12.822,21.699,0.271,66.068,25.485,0.331,64.68,16.722,0.153,62.411,13.316,12.894,0.199,63.817,23.967,0.403,62.532,31.479,0.359,60.897,13.067,14.137,0.184,63.501,19.141,0.375,60.92,27.693,0.654,59.801,12.893,26.383,0.779,63.952,33.464,1.346,63.267,36.585,1.525,61.807,0.205,0.054,0.209,0.055,0.225,0.059,0.189,0.05,0.178,0.047,0.19,0.05,0.077,0.02,0.067,0.018,0.092,0.024,0.247,0.065,0.221,0.058,0.203,0.054,0.196,0.052,0.194,0.051,0.223,0.059,0.186,0.049,0.157,0.042,0.193,0.051,0.127,0.034,0.134,0.035,0.2,0.053,0.096,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.096,0.025,0.139,0.037,0.133,0.035,0.168,0.044,0.184,0.049,1.557,0.133,-0.907,4.413,2.9,1.125,6.148,4.174,1.36,3.825,1.053,0.672,-2.443,0.117,0.573,2.116,1.413,0.604,-0.011,-0.042,-0.003,-0.012,0.006,0.022,-0.002,-0.007,-0.004,-0.016,-0.009,-0.033,-0.029,-0.109,-0.024,-0.091,-0.027,-0.1,0.016,0.062,0.004,0.014,0.011,0.042,0.007,0.025,0.007,0.025,0.002,0.009,-0.006,-0.024,-0.011,-0.04,-0.026,-0.1
2025-05-17 00:15:00,13.188,40.796,0.568,60.797,41.665,0.502,60.223,44.69,0.555,59.891,13.075,37.842,0.526,63.604,36.305,0.535,61.842,38.949,0.734,60.002,12.906,15.401,0.479,66.259,13.286,0.853,64.327,18.317,1.348,62.09,13.05,49.232,0.541,59.155,44.08,0.528,60.011,40.347,0.376,60.73,13.169,39.048,0.453,59.175,38.63,0.365,58.644,44.33,0.267,58.732,12.861,37.021,0.343,60.189,31.677,0.389,60.052,38.635,0.273,60.508,13.071,25.229,0.411,67.529,26.693,0.593,63.627,39.764,0.704,61.586,13.363,19.049,0.229,61.066,24.091,0.298,61.027,29.389,0.275,60.364,12.806,21.701,0.27,65.953,25.484,0.331,64.668,16.721,0.153,62.44,13.293,12.875,0.199,63.782,23.965,0.403,62.562,31.48,0.359,60.929,13.05,14.137,0.184,63.424,19.135,0.376,60.94,27.677,0.655,59.827,12.887,26.365,0.777,63.832,33.443,1.345,63.246,36.659,1.521,61.822,0.205,0.054,0.209,0.055,0.225,0.059,0.19,0.05,0.182,0.048,0.196,0.052,0.077,0.02,0.067,0.018,0.092,0.024,0.247,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.194,0.051,0.223,0.059,0.186,0.049,0.159,0.042,0.194,0.051,0.127,0.034,0.134,0.035,0.2,0.053,0.096,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.096,0.025,0.139,0.037,0.133,0.035,0.168,0.044,0.184,0.049,1.642,0.212,-0.839,4.429,3.197,1.27,6.07,4.275,1.582,3.748,1.065,0.657,-2.359,0.087,0.537,2.121,1.421,0.618,-0.011,-0.042,-0.003,-0.012,0.006,0.022,-0.002,-0.006,-0.003,-0.012,-0.007,-0.027,-0.029,-0.109,-0.024,-0.092,-0.027,-0.102,0.016,0.062,0.004,0.014,0.011,0.042,0.007,0.025,0.007,0.025,0.002,0.009,-0.006,-0.023,-0.011,-0.04,-0.026,-0.1
2025-05-17 00:30:00,13.185,40.783,0.568,60.755,41.714,0.5,60.236,44.693,0.554,59.87,13.063,37.993,0.525,63.409,36.597,0.532,62.046,39.745,0.739,60.163,12.899,15.526,0.484,66.058,13.201,0.856,64.307,18.315,1.348,62.142,13.026,49.25,0.539,59.067,44.082,0.526,59.922,40.354,0.375,60.676,13.148,39.05,0.452,59.056,38.651,0.364,58.554,44.37,0.266,58.634,12.854,37.099,0.34,60.039,32.046,0.392,59.912,38.801,0.271,60.352,13.07,25.213,0.411,67.438,26.751,0.593,63.673,39.752,0.706,61.63,13.362,18.982,0.229,61.04,24.091,0.298,60.999,29.388,0.275,60.359,12.806,21.675,0.269,65.804,25.488,0.331,64.63,16.721,0.153,62.439,13.268,12.853,0.199,63.758,23.971,0.403,62.592,31.479,0.359,60.96,13.051,14.142,0.183,63.346,19.201,0.376,60.984,27.675,0.655,59.858,12.88,26.388,0.776,63.697,33.37,1.345,63.213,36.559,1.527,61.836,0.205,0.054,0.21,0.055,0.225,0.059,0.191,0.05,0.184,0.049,0.2,0.053,0.078,0.021,0.066,0.018,0.092,0.024,0.248,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.194,0.051,0.223,0.059,0.186,0.049,0.161,0.043,0.195,0.052,0.127,0.033,0.134,0.036,0.2,0.053,0.095,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.097,0.025,0.139,0.037,0.133,0.035,0.168,0.044,0.184,0.049,1.688,0.314,-0.806,4.353,3.493,1.528,6.019,4.395,1.79,3.68,1.081,0.67,-2.306,0.015,0.501,2.107,1.417,0.603,-0.011,-0.043,-0.003,-0.012,0.006,0.022,-0.001,-0.005,-0.003,-0.01,-0.006,-0.023,-0.029,-0.108,-0.025,-0.095,-0.027,-0.103,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.025,0.002,0.009,-0.006,-0.024,-0.01,-0.04,-0.026,-0.1
2025-05-17 00:45:00,13.173,40.808,0.567,60.71,41.732,0.498,60.253,44.714,0.554,59.851,13.052,38.089,0.521,63.055,36.778,0.525,62.222,39.849,0.718,60.494,12.891,15.786,0.494,65.86,13.309,0.852,64.307,18.354,1.349,62.172,13.019,49.253,0.537,58.958,44.129,0.524,59.819,40.354,0.374,60.652,13.143,39.058,0.451,58.926,38.693,0.363,58.486,44.38,0.267,58.542,12.864,37.165,0.338,59.899,32.386,0.395,59.797,38.943,0.27,60.236,13.057,25.227,0.409,67.326,26.742,0.594,63.723,39.761,0.705,61.657,13.38,18.971,0.229,61.052,24.105,0.298,60.989,29.385,0.275,60.344,12.789,21.639,0.269,65.688,25.489,0.331,64.6,16.721,0.153,62.452,13.267,12.856,0.199,63.727,23.957,0.404,62.63,31.477,0.359,60.993,13.033,14.149,0.183,63.269,19.205,0.377,61.003,27.73,0.655,59.876,12.874,26.345,0.774,63.539,33.456,1.341,63.192,36.647,1.522,61.859,0.205,0.054,0.21,0.055,0.225,0.059,0.191,0.051,0.185,0.049,0.2,0.053,0.079,0.021,0.067,0.018,0.092,0.024,0.248,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.194,0.051,0.223,0.059,0.187,0.049,0.163,0.043,0.196,0.052,0.127,0.033,0.134,0.036,0.2,0.053,0.095,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.097,0.026,0.139,0.037,0.132,0.035,0.168,0.044,0.184,0.049,1.752,0.435,-0.801,4.129,3.736,1.952,5.961,4.511,1.937,3.599,1.092,0.664,-2.217,-0.014,0.467,2.149,1.407,0.593,-0.011,-0.042,-0.003,-0.012,0.006,0.022,-0.001,-0.005,-0.003,-0.01,-0.006,-0.023,-0.028,-0.107,-0.025,-0.096,-0.027,-0.103,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.007,0.025,0.002,0.008,-0.006,-0.024,-0.011,-0.04,-0.026,-0.1
2025-05-17 01:00:00,13.159,40.787,0.567,60.686,41.708,0.497,60.265,44.67,0.555,59.831,13.027,38.144,0.519,62.789,36.869,0.517,62.23,39.881,0.702,60.852,12.881,16.285,0.51,65.653,13.272,0.853,64.281,18.317,1.35,62.209,13.0,49.293,0.535,58.86,44.155,0.523,59.767,40.41,0.374,60.585,13.141,39.06,0.45,58.83,38.699,0.363,58.382,44.421,0.267,58.434,12.853,37.228,0.336,59.748,32.621,0.398,59.646,39.1,0.27,60.111,13.049,25.232,0.409,67.217,26.742,0.594,63.769,39.757,0.705,61.666,13.371,18.929,0.228,61.068,24.019,0.298,60.954,29.391,0.275,60.298,12.788,21.645,0.268,65.544,25.491,0.33,64.582,16.721,0.153,62.472,13.25,12.863,0.198,63.69,23.961,0.403,62.646,31.474,0.36,61.03,13.026,14.143,0.182,63.18,19.198,0.377,61.026,27.762,0.655,59.909,12.878,26.345,0.773,63.418,33.565,1.34,63.15,36.536,1.528,61.865,0.205,0.054,0.21,0.055,0.225,0.059,0.192,0.051,0.185,0.049,0.2,0.053,0.082,0.022,0.067,0.018,0.092,0.024,0.248,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.195,0.051,0.223,0.059,0.187,0.049,0.164,0.043,0.197,0.052,0.127,0.034,0.134,0.036,0.2,0.053,0.095,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.096,0.025,0.14,0.037,0.132,0.035,0.169,0.045,0.184,0.049,1.826,0.498,-0.755,3.959,3.848,2.418,5.905,4.635,2.098,3.527,1.123,0.636,-2.112,-0.072,0.389,2.126,1.432,0.607,-0.011,-0.043,-0.003,-0.012,0.006,0.021,-0.001,-0.005,-0.002,-0.009,-0.006,-0.023,-0.028,-0.105,-0.026,-0.097,-0.028,-0.104,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.024,-0.011,-0.041,-0.026,-0.1
2025-05-17 01:15:00,13.157,40.829,0.567,60.644,41.733,0.497,60.242,44.69,0.555,59.827,13.03,38.159,0.516,62.568,36.875,0.511,62.153,39.904,0.69,61.112,12.876,17.574,0.546,65.447,13.168,0.857,64.253,18.203,1.352,62.225,12.969,49.299,0.534,58.846,44.203,0.52,59.676,40.414,0.373,60.556,13.132,39.069,0.449,58.731,38.7,0.362,58.308,44.431,0.266,58.339,12.843,37.281,0.333,59.62,32.773,0.399,59.526,39.25,0.27,59.986,13.031,25.169,0.408,67.101,26.739,0.594,63.795,39.779,0.705,61.697,13.359,18.895,0.228,61.079,24.023,0.297,60.929,29.388,0.275,60.317,12.772,21.645,0.268,65.406,25.493,0.33,64.528,16.721,0.153,62.48,13.23,12.868,0.198,63.649,23.967,0.403,62.67,31.473,0.36,61.073,13.014,14.077,0.182,63.113,19.194,0.377,61.053,27.758,0.656,59.931,12.869,26.353,0.771,63.264,33.498,1.343,63.121,36.457,1.532,61.876,0.205,0.054,0.21,0.055,0.225,0.059,0.192,0.051,0.185,0.049,0.201,0.053,0.088,0.023,0.066,0.017,0.091,0.024,0.248,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.195,0.051,0.223,0.059,0.187,0.05,0.165,0.044,0.197,0.052,0.127,0.033,0.134,0.036,0.2,0.053,0.095,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.096,0.025,0.14,0.037,0.132,0.035,0.168,0.044,0.183,0.048,1.798,0.566,-0.729,3.837,3.844,2.773,5.826,4.727,2.24,3.452,1.125,0.624,-2.034,-0.123,0.386,2.142,1.407,0.604,-0.011,-0.043,-0.003,-0.012,0.006,0.021,-0.001,-0.005,-0.002,-0.009,-0.006,-0.023,-0.026,-0.099,-0.026,-0.099,-0.028,-0.106,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.024,-0.011,-0.04,-0.026,-0.099
2025-05-17 01:30:00,13.145,40.845,0.567,60.601,41.772,0.497,60.262,44.691,0.555,59.831,13.004,38.229,0.514,62.363,36.939,0.506,62.06,39.915,0.679,61.268,12.869,19.713,0.596,65.254,13.269,0.854,64.242,18.177,1.353,62.246,12.955,49.299,0.533,58.853,44.261,0.517,59.595,40.426,0.373,60.501,13.121,39.071,0.447,58.633,38.756,0.361,58.223,44.47,0.266,58.242,12.827,37.334,0.332,59.509,32.865,0.4,59.401,39.362,0.269,59.818,13.031,25.163,0.408,66.99,26.732,0.595,63.825,39.813,0.707,61.744,13.358,18.891,0.229,61.127,24.02,0.297,60.896,29.388,0.275,60.302,12.771,21.613,0.267,65.277,25.495,0.33,64.516,16.72,0.153,62.507,13.214,12.873,0.198,63.608,23.961,0.404,62.687,31.471,0.36,61.076,13.0,14.083,0.182,63.016,19.199,0.377,61.062,27.755,0.656,59.948,12.872,26.301,0.77,63.139,33.471,1.342,63.08,36.607,1.524,61.891,0.205,0.054,0.21,0.055,0.225,0.059,0.192,0.051,0.186,0.049,0.201,0.053,0.099,0.026,0.067,0.018,0.091,0.024,0.248,0.065,0.222,0.059,0.203,0.054,0.196,0.052,0.195,0.051,0.224,0.059,0.188,0.05,0.165,0.044,0.198,0.052,0.126,0.033,0.134,0.035,0.2,0.053,0.095,0.025,0.121,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.097,0.025,0.14,0.037,0.132,0.035,0.168,0.044,0.184,0.049,1.748,0.667,-0.67,3.73,3.837,3.026,5.744,4.84,2.428,3.382,1.138,0.667,-1.889,-0.165,0.354,2.139,1.437,0.616,-0.011,-0.042,-0.003,-0.013,0.006,0.021,-0.001,-0.004,-0.002,-0.009,-0.006,-0.023,-0.023,-0.089,-0.026,-0.098,-0.028,-0.106,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.024,-0.011,-0.04,-0.026,-0.1
2025-05-17 01:45:00,13.14,40.845,0.568,60.556,41.793,0.496,60.173,44.691,0.555,59.838,13.0,38.245,0.512,62.19,37.051,0.502,61.97,39.969,0.67,61.361,12.865,22.487,0.643,65.042,13.23,0.855,64.204,18.219,1.354,62.287,12.937,49.324,0.532,58.859,44.269,0.516,59.563,40.474,0.372,60.438,13.119,39.082,0.446,58.452,38.745,0.36,58.09,44.487,0.266,58.109,12.836,37.364,0.331,59.403,32.938,0.401,59.285,39.462,0.269,59.731,13.026,25.168,0.407,66.87,26.729,0.595,63.849,39.805,0.708,61.764,13.35,18.831,0.229,61.146,23.949,0.297,60.895,29.387,0.275,60.278,12.766,21.584,0.267,65.147,25.499,0.329,64.466,16.72,0.153,62.484,13.205,12.875,0.197,63.571,23.956,0.404,62.695,31.47,0.36,61.123,13.0,14.085,0.182,62.938,19.197,0.377,61.089,27.751,0.656,59.968,12.869,26.317,0.769,63.042,33.506,1.338,63.055,36.599,1.524,61.889,0.205,0.054,0.21,0.055,0.225,0.059,0.192,0.051,0.186,0.049,0.201,0.053,0.113,0.03,0.067,0.018,0.092,0.024,0.248,0.065,0.223,0.059,0.203,0.054,0.196,0.052,0.195,0.051,0.224,0.059,0.188,0.05,0.166,0.044,0.198,0.052,0.127,0.033,0.134,0.035,0.2,0.053,0.095,0.025,0.12,0.032,0.148,0.039,0.108,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.096,0.025,0.139,0.037,0.132,0.035,0.168,0.044,0.184,0.049,1.697,0.61,-0.6,3.738,3.88,3.253,5.639,4.92,2.556,3.299,1.154,0.642,-1.792,-0.194,0.31,2.105,1.411,0.595,-0.011,-0.043,-0.003,-0.012,0.006,0.021,-0.001,-0.004,-0.002,-0.009,-0.006,-0.023,-0.02,-0.075,-0.026,-0.099,-0.028,-0.107,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.024,-0.011,-0.04,-0.026,-0.1
2025-05-17 02:00:00,13.127,40.9,0.568,60.517,41.795,0.495,60.09,44.702,0.554,59.833,12.996,38.305,0.509,62.019,37.096,0.497,61.865,40.009,0.663,61.431,12.859,25.076,0.685,64.837,13.326,0.855,64.152,18.237,1.354,62.295,12.927,49.34,0.529,58.758,44.303,0.514,59.524,40.474,0.372,60.382,13.112,39.14,0.445,58.327,38.708,0.359,57.897,44.52,0.265,57.921,12.822,37.4,0.33,59.264,32.951,0.401,59.174,39.564,0.269,59.574,13.016,25.151,0.406,66.746,26.726,0.595,63.877,39.8,0.709,61.795,13.353,18.811,0.229,61.195,23.953,0.296,60.883,29.388,0.275,60.261,12.725,21.589,0.266,65.03,25.501,0.329,64.421,16.721,0.153,62.505,13.192,12.879,0.197,63.535,23.957,0.404,62.706,31.471,0.36,61.144,12.991,14.089,0.181,62.858,19.199,0.378,61.102,27.739,0.657,59.993,12.864,26.312,0.767,62.929,33.365,1.34,63.017,36.355,1.538,61.913,0.206,0.054,0.21,0.055,0.225,0.059,0.193,0.051,0.186,0.049,0.201,0.053,0.126,0.033,0.067,0.018,0.092,0.024,0.248,0.066,0.223,0.059,0.203,0.054,0.197,0.052,0.195,0.051,0.224,0.059,0.188,0.05,0.166,0.044,0.199,0.053,0.126,0.033,0.134,0.035,0.2,0.053,0.095,0.025,0.12,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.097,0.025,0.139,0.037,0.132,0.035,0.168,0.044,0.183,0.048,1.759,0.566,-0.549,3.692,3.967,3.51,5.573,4.978,2.721,3.211,1.172,0.651,-1.663,-0.219,0.268,2.101,1.403,0.592,-0.011,-0.042,-0.003,-0.013,0.006,0.021,-0.001,-0.004,-0.002,-0.008,-0.006,-0.023,-0.016,-0.062,-0.026,-0.099,-0.028,-0.107,0.016,0.062,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.024,-0.01,-0.04,-0.026,-0.099
2025-05-17 02:15:00,13.123,40.907,0.567,60.49,41.801,0.495,60.042,44.692,0.554,59.815,12.995,38.335,0.506,61.864,37.109,0.496,61.778,40.003,0.655,61.46,12.853,27.3,0.727,64.642,13.343,0.852,64.12,18.196,1.355,62.329,12.896,49.348,0.527,58.696,44.329,0.512,59.471,40.502,0.371,60.328,13.099,39.14,0.444,58.164,38.73,0.358,57.719,44.547,0.265,57.749,12.825,37.458,0.329,59.135,32.995,0.4,59.063,39.699,0.269,59.466,13.01,25.107,0.405,66.629,26.77,0.595,63.897,39.799,0.709,61.813,13.334,18.81,0.229,61.241,23.955,0.296,60.866,29.385,0.275,60.262,12.718,21.598,0.265,64.911,25.503,0.329,64.369,16.72,0.153,62.505,13.165,12.881,0.197,63.481,23.959,0.404,62.713,31.47,0.36,61.155,12.984,14.093,0.181,62.756,19.276,0.378,61.104,27.742,0.657,60.015,12.859,26.263,0.766,62.798,33.445,1.336,62.97,36.439,1.533,61.908,0.206,0.054,0.21,0.056,0.225,0.059,0.193,0.051,0.187,0.049,0.201,0.053,0.137,0.036,0.067,0.018,0.091,0.024,0.248,0.066,0.223,0.059,0.204,0.054,0.197,0.052,0.195,0.051,0.224,0.059,0.188,0.05,0.166,0.044,0.2,0.053,0.126,0.033,0.135,0.036,0.2,0.053,0.095,0.025,0.12,0.032,0.148,0.039,0.109,0.029,0.128,0.034,0.084,0.022,0.065,0.017,0.12,0.032,0.158,0.042,0.071,0.019,0.097,0.026,0.139,0.037,0.132,0.035,0.168,0.044,0.183,0.048,1.793,0.571,-0.512,3.701,4.059,3.711,5.507,5.058,2.864,3.148,1.183,0.658,-1.515,-0.238,0.247,2.114,1.399,0.597,-0.011,-0.042,-0.003,-0.013,0.006,0.021,-0.001,-0.004,-0.002,-0.008,-0.006,-0.023,-0.013,-0.051,-0.026,-0.099,-0.029,-0.108,0.016,0.061,0.004,0.014,0.011,0.042,0.006,0.024,0.006,0.024,0.002,0.008,-0.006,-0.023,-0.011,-0.04,-0.026,-0.099
